Fh [kN],u [mm]
-32.89,-1.94677722
-33.21,-1.993317174
-33.52,-2.041569365
-33.85,-2.076991389
-34.33,-2.123799771
-35.1,-2.170830507
-35.65,-2.213612743
-36.08,-2.262205949
-36.75,-2.307124183
-37.3,-2.341265767
-37.9,-2.392241357
-38.46,-2.436342655
-38.85,-2.491471671
-36.38,-2.488646945
-36.34,-2.481791043
-36.49,-2.492598894
-34.23,-2.410100135
-32.25,-2.321409369
-30.72,-2.220796485
-29.49,-2.118769947
-28.22,-2.037672677
-26.83,-1.942073247
-25.88,-1.856140101
-24.84,-1.757638885
-24.01,-1.683543799
-22.68,-1.579577972
-21.86,-1.506563272
-21.06,-1.407284358
-20.03,-1.320174358
-18.51,-1.224637957
-17.36,-1.136106772
-15.32,-1.05983799
-12.9,-0.963532457
-10.6,-0.865580826
-8.184,-0.775160841
-5.484,-0.695077381
-2.883,-0.624674468
-0.6992,-0.554710014
1.07,-0.488156981
2.915,-0.428633496
5.02,-0.35741431
7.267,-0.282694163
9.501,-0.197027175
11.74,-0.118367605
13.93,-0.026563248
16.11,0.059750595
18.18,0.135206882
20.14,0.209358714
21.9,0.279540075
23.64,0.350910979
25.3,0.413605207
26.92,0.48113074
28.48,0.554934943
30.31,0.623178747
32.13,0.690985447
34.03,0.766287908
36.06,0.861235137
37.57,0.928940492
38.47,0.976955822
39.18,1.016626099
40.05,1.062085806
40.62,1.109129999
41.36,1.15803899
42.03,1.21174556
42.6,1.278366176
43.11,1.34692724
43.84,1.424995862
42.19,1.425404861
39.72,1.415689103
34.81,1.338785729
29.65,1.232926308
25.04,1.129073649
20.77,1.031264207
16.67,0.932055298
12.94,0.834157811
10.11,0.74224135
7.3,0.659652566
4.344,0.579193257
1.737,0.48968226
-0.4677,0.408745722
-2.287,0.354800279
-3.993,0.294532352
-6.203,0.219844578
-8.307,0.143207799
-10.47,0.062641854
-12.59,-0.020548421
-14.44,-0.105633297
-16.18,-0.197592353
-17.73,-0.271843497
-19.11,-0.366544793
-20.23,-0.446563997
-21.7,-0.532245405
-22.23,-0.629598518
-22.95,-0.715089439
-23.77,-0.79670248
-24.55,-0.889482361
-25.31,-0.978641031
-25.95,-1.062893154
-26.72,-1.152205336
-27.29,-1.239927087
-28.14,-1.324433387
-28.68,-1.418185013
-29.44,-1.507982085
-29.98,-1.59316091
-30.73,-1.680729326
-31.33,-1.776392131
-32.03,-1.860551415
-32.64,-1.950494361
-33.31,-2.037213591
-33.93,-2.124013878
-34.91,-2.21072323
-35.94,-2.301349311
-36.94,-2.378899489
-37.81,-2.452712904
-38.49,-2.524304485
-39.24,-2.589819637
-39.8,-2.689043312
-40.19,-2.763830973
-40.49,-2.872185019
-40.62,-2.978612264
-40.64,-3.104637356
-40.58,-3.24194207
-40.33,-3.38501507
-39.89,-3.544385058
-39.63,-3.705612492
-39.11,-3.863836762
-38.59,-4.035376664
-37.71,-4.1643922
-37.66,-4.156108769
-32.95,-4.107669683
-31.45,-3.985776305
-30.36,-3.861539613
-29.08,-3.756868665
-28.06,-3.643365256
-26.94,-3.526754105
-26.01,-3.412433066
-24.99,-3.307360265
-24.01,-3.189655546
-23.1,-3.090326627
-21.96,-2.970217506
-21.18,-2.86868043
-19.89,-2.755041454
-18.09,-2.626889538
-16.61,-2.526886035
-14.54,-2.398389992
-12.19,-2.281837877
-9.953,-2.165405304
-7.874,-2.058308176
-5.707,-1.957400223
-3.826,-1.855736057
-2.054,-1.767321478
-0.4385,-1.675306201
0.9839,-1.600495057
2.279,-1.535085274
3.802,-1.450648414
5.415,-1.355478505
6.95,-1.263508822
8.533,-1.175833754
10.02,-1.081693484
11.44,-0.985175852
12.92,-0.894032978
14.33,-0.801500708
15.64,-0.709467437
16.99,-0.609208697
18.39,-0.525143262
19.67,-0.436946096
20.91,-0.34932343
22.09,-0.269493127
23.24,-0.197050575
24.03,-0.139541824
24.81,-0.081684856
25.61,-0.020680586
26.51,0.04466919
27.46,0.105310866
28.41,0.170528008
29.4,0.239575023
30.47,0.313680519
31.5,0.394793273
32.7,0.482991513
33.76,0.562779797
34.96,0.643837056
36.1,0.727824404
37.13,0.820973392
38.28,0.902748489
39.33,0.992644759
40.2,1.088334252
40.87,1.174258681
35.95,1.148755417
30.96,1.054304393
26.56,0.95763016
22.45,0.861021564
18.55,0.767844178
15.1,0.677701279
11.94,0.590488589
9.135,0.491307255
6.515,0.400106464
3.846,0.313908784
1.535,0.229227432
-0.4505,0.159800342
-2.04,0.084115054
-3.652,0.026653247
-5.509,-0.041067211
-7.408,-0.125854509
-9.241,-0.207433114
-11,-0.300954632
-12.62,-0.389429284
-14.18,-0.480774407
-15.61,-0.568485548
-16.89,-0.660782016
-18.07,-0.746915554
-19.01,-0.84126874
-19.93,-0.933661729
-20.68,-1.027784426
-21.27,-1.120095595
-22.15,-1.213491574
-22.73,-1.310075509
-23.24,-1.418166016
-23.83,-1.51023238
-24.26,-1.612611554
-24.87,-1.698577859
-25.26,-1.797289304
-25.83,-1.897723176
-26.29,-1.997174338
-26.77,-2.092163355
-27.17,-2.186142565
-27.67,-2.29341397
-28.03,-2.38664897
-28.57,-2.487007779
-28.98,-2.590570215
-29.4,-2.688681874
-29.79,-2.786891777
-30.31,-2.889334032
-30.6,-2.99530653
-30.97,-3.086786983
-31.32,-3.193909055
-31.62,-3.289706738
-32.03,-3.378201132
-32.46,-3.483617311
-32.86,-3.581361084
-33.31,-3.681044821
-33.77,-3.776084965
-34.19,-3.86598812
-34.58,-3.979401357
-35,-4.075355236
-35.26,-4.164712258
-34.33,-4.207173763
-32.28,-4.153955259
-30.76,-4.048614359
-29.63,-3.941929826
-28.52,-3.84048611
-27.44,-3.731794394
-26.63,-3.640890753
-25.64,-3.535611247
-24.85,-3.434595447
-23.92,-3.328709778
-23.04,-3.235869398
-22.18,-3.132669823
-21.36,-3.039102356
-20.61,-2.940451677
-19.79,-2.849222378
-18.56,-2.754127241
-17.04,-2.644903144
-15.26,-2.535505348
-13.5,-2.427874249
-11.74,-2.329427729
-9.783,-2.221824982
-7.877,-2.117948826
-5.995,-2.016880857
-4.239,-1.927918299
-2.577,-1.837365942
-0.9971,-1.749020475
0.4906,-1.666104739
1.605,-1.606097634
3.056,-1.525468151
4.594,-1.435408543
6.109,-1.341534004
7.599,-1.256665295
9.091,-1.164576564
10.6,-1.070391438
12.01,-0.980082339
13.38,-0.883675525
14.8,-0.788568893
16.17,-0.697880828
17.44,-0.606499074
18.67,-0.512170627
19.9,-0.424970366
21.11,-0.342949531
22.35,-0.256786006
23.19,-0.177348507
24.19,-0.112547241
25.17,-0.040164733
26.1,0.025930982
27.06,0.1003138
28.06,0.185386298
29.17,0.256322014
30.29,0.338180989
31.37,0.424743219
32.62,0.51740545
33.71,0.605922971
34.99,0.690393925
36.28,0.783580588
37.37,0.868431031
38.72,0.961428412
39.56,1.051716431
40.22,1.139676273
40.92,1.232382993
41.38,1.325364577
41.59,1.424677525
41.53,1.535396722
41.42,1.639784887
41.42,1.759988111
41.3,1.880275981
41.17,1.996840948
40.93,2.13645431
39.98,2.202277246
37.38,2.211023705
35.68,2.188597745
31.41,2.075247009
27.53,1.943530944
23.98,1.826699028
21.12,1.707942775
18.12,1.59236295
15.6,1.478556173
13.17,1.378807706
10.97,1.276763633
9.26,1.190069623
7.334,1.096857749
5.301,0.999334556
3.445,0.906074688
1.688,0.810438335
-0.00391,0.720875575
-1.366,0.635797579
-2.714,0.564155392
-3.858,0.488962706
-5.305,0.401371861
-6.793,0.31607429
-8.171,0.222162851
-9.511,0.128057153
-10.78,0.037494786
-12,-0.060171539
-13.19,-0.153931101
-14.28,-0.249598838
-15.38,-0.345654524
-16.39,-0.445499629
-17.28,-0.552982196
-18.16,-0.642197806
-18.95,-0.733317414
-19.62,-0.832228554
-20.26,-0.937961235
-20.79,-1.036737445
-21.25,-1.131459477
-21.99,-1.229056552
-22.47,-1.327595483
-22.89,-1.424974957
-23.28,-1.530946053
-23.86,-1.6264359
-24.15,-1.721967133
-24.5,-1.829454469
-25.03,-1.931237539
-25.41,-2.017906257
-25.77,-2.117940117
-26.22,-2.211725724
-26.55,-2.317288051
-27.04,-2.416161642
-27.31,-2.510249017
-27.78,-2.599337594
-28.15,-2.712523176
-28.53,-2.803836793
-28.94,-2.894175504
-29.26,-2.983028488
-29.72,-3.079700607
-30.1,-3.176873626
-30.45,-3.273184638
-30.78,-3.366538849
-31.12,-3.456919556
-31.48,-3.549811064
-31.94,-3.646353597
-32.23,-3.727768808
-32.51,-3.824742453
-32.78,-3.919276056
-33.23,-4.016009961
-33.46,-4.111943351
-33.8,-4.201428436
-34.11,-4.303163096
-34.38,-4.419760512
-34.56,-4.542951175
-34.8,-4.659479555
-34.91,-4.787820072
-34.93,-4.917296509
-34.94,-5.060094312
-34.97,-5.220365976
-34.55,-5.376282443
-33.87,-5.394288596
-32.82,-5.364544403
-31.19,-5.257346388
-29.99,-5.150931096
-29.06,-5.046177419
-28.17,-4.939148509
-27.2,-4.835406476
-26.46,-4.722693173
-25.68,-4.625481263
-24.84,-4.514217769
-24.02,-4.419628051
-23.1,-4.309571144
-22.28,-4.204302486
-21.53,-4.097244818
-20.51,-3.988169548
-19.33,-3.86650028
-17.96,-3.755870935
-16.33,-3.627308253
-14.72,-3.509037465
-13,-3.379657451
-11.25,-3.262768402
-9.65,-3.159285406
-8.099,-3.042038654
-6.556,-2.933458128
-5.126,-2.822848585
-3.73,-2.712070658
-2.535,-2.616004325
-1.323,-2.520768649
-0.1148,-2.433092395
0.9719,-2.339388076
1.964,-2.265697779
3.103,-2.17259014
4.365,-2.07914968
5.549,-1.974148486
6.771,-1.886963771
7.906,-1.788303224
9.087,-1.686428032
10.24,-1.592007601
11.23,-1.488326622
12.38,-1.385072457
13.43,-1.287154372
14.45,-1.184399669
15.51,-1.081770971
16.41,-0.985132285
17.37,-0.877958691
18.36,-0.779849005
19.2,-0.683539151
20,-0.590350115
20.92,-0.50652733
21.6,-0.422121984
22.27,-0.32595508
23.01,-0.246288944
23.67,-0.182785775
24.32,-0.102704254
24.85,-0.026173006
25.58,0.054421179
26.14,0.14295399
26.77,0.218320487
27.56,0.311581971
28.1,0.396607513
28.83,0.486829337
29.49,0.573595282
30.09,0.670566201
30.66,0.754148532
31.47,0.85365667
32.06,0.950094004
32.87,1.047531363
33.35,1.141968249
34.07,1.242399293
34.76,1.339007218
35.38,1.442897198
35.76,1.541897555
36.43,1.656003854
36.98,1.751291574
36.6,1.8146441
34.61,1.829174193
30.11,1.738943858
27.09,1.638944285
24.53,1.541341876
22.1,1.447623295
19.79,1.341829794
17.59,1.248958116
15.47,1.13864239
13.38,1.051959594
11.44,0.945318264
9.677,0.849282455
8.026,0.752898518
6.373,0.661436431
4.701,0.574727269
3.028,0.472472894
1.425,0.379715125
-0.01823,0.29018656
-1.302,0.202922414
-2.572,0.12922146
-3.695,0.056965567
-4.941,-0.029296519
-6.233,-0.118583722
-7.496,-0.222078182
-8.742,-0.316743654
-9.922,-0.41099154
-11.08,-0.514114646
-12.19,-0.603697441
-13.25,-0.702723465
-14.26,-0.805352109
-15.26,-0.90582073
-16.18,-1.009742308
-17.01,-1.111303899
-17.87,-1.208647698
-18.61,-1.304756315
-19.33,-1.416700895
-19.95,-1.510249947
-20.49,-1.611194115
-21.08,-1.710316921
-21.56,-1.808897219
-21.99,-1.924900669
-22.46,-2.025772172
-22.84,-2.12841197
-23.09,-2.222879399
-23.6,-2.328537356
-23.91,-2.424069165
-24.3,-2.535838223
-24.59,-2.628186093
-24.83,-2.733142164
-25.31,-2.840996892
-25.58,-2.931622561
-25.88,-3.0282064
-26.22,-3.127251703
-26.44,-3.230840955
-26.9,-3.32493056
-27.15,-3.425312326
-27.38,-3.522398554
-27.74,-3.620773781
-28.06,-3.707719752
-28.34,-3.801856738
-28.71,-3.903177026
-28.97,-4.010055057
-29.21,-4.106781583
-29.56,-4.202052328
-29.8,-4.306677913
-30.28,-4.405852828
-30.53,-4.500021873
-30.82,-4.602924332
-31.13,-4.708273783
-31.48,-4.800665371
-31.76,-4.908222747
-31.94,-5.007478878
-32.3,-5.115016551
-32.72,-5.220410983
-32.59,-5.340186814
-30.48,-5.395325889
-30.68,-5.41316327
-30.85,-5.402768914
-28.61,-5.236024543
-27.46,-5.096487069
-25.98,-4.944390358
-24.97,-4.793692409
-23.72,-4.644461586
-22.62,-4.501012045
-21.26,-4.352175863
-20.29,-4.202310679
-18.27,-4.031140435
-16.58,-3.872744939
-14.39,-3.704057846
-12,-3.527691268
-9.718,-3.34929127
-7.667,-3.182492457
-5.695,-3.023035338
-3.889,-2.865736495
-2.176,-2.716964545
-0.4208,-2.576140417
1.148,-2.44433644
2.676,-2.326625998
4.438,-2.183111276
6.08,-2.02808938
7.824,-1.882975994
9.092,-1.734647374
11.02,-1.574227501
12.7,-1.427015939
14.19,-1.269244187
15.63,-1.126467358
17.13,-0.977686504
18.44,-0.82739902
19.58,-0.687768775
20.61,-0.551158928
21.57,-0.425983292
22.58,-0.303511897
23.51,-0.197658216
24.38,-0.066379485
25.27,0.062499747
26.2,0.186908092
27.29,0.31208305
28.19,0.454077897
29.13,0.598304765
30.12,0.726503802
31.22,0.873706414
32.15,1.01287275
33.21,1.16550546
34.24,1.329431432
35.18,1.479727172
35.95,1.634186502
36.76,1.792181552
37.28,1.960439432
37.4,2.12935903
37.67,2.306735708
37.76,2.512872791
37.33,2.680132631
34.87,2.678990821
33.74,2.668464908
28.96,2.492938542
24.85,2.307116109
21.41,2.13131194
18.22,1.964406185
15.46,1.805834087
12.82,1.638889604
10.61,1.484056488
8.54,1.343978526
6.37,1.191561895
4.29,1.057102606
2.313,0.911048301
0.4273,0.758745717
-1.249,0.63154041
-2.822,0.508314835
-4.227,0.385301217
-5.793,0.242148764
-7.339,0.10246659
-8.762,-0.058962606
-10.08,-0.207912194
-11.4,-0.359431894
-12.66,-0.511820558
-13.85,-0.666768593
-15.03,-0.816953572
-16.11,-0.97051305
-17.09,-1.131176177
-18.13,-1.283954683
-18.99,-1.437219521
-19.79,-1.59130681
-20.47,-1.750033925
-21.08,-1.907849897
-21.64,-2.059979027
-22.22,-2.231610958
-22.71,-2.378815059
-23.11,-2.536180711
-23.65,-2.689544097
-24.06,-2.83603711
-24.42,-2.99151723
-24.98,-3.142193002
-25.35,-3.282773594
-25.76,-3.428473365
-26.17,-3.577089651
-26.68,-3.709141419
-27.06,-3.855083589
-27.58,-4.001556889
-28.04,-4.147183238
-28.48,-4.289661077
-28.98,-4.433788774
-29.46,-4.574435465
-29.81,-4.712608125
-30.38,-4.867823087
-30.78,-5.014296537
-31.27,-5.167708673
-31.65,-5.32055403
-32.11,-5.496074899
-32.37,-5.659879325
-32.83,-5.869006225
-32.81,-6.067974172
-32.88,-6.275531508
-32.56,-6.491923705
-31.84,-6.530263267
-30.62,-6.504887626
-29.92,-6.411227037
-28.5,-6.265615787
-27.26,-6.103115707
-26.04,-5.953571237
-24.8,-5.80491834
-23.65,-5.653030589
-22.6,-5.493997781
-21.37,-5.341306119
-20.07,-5.190514536
-17.99,-5.006737913
-15.9,-4.816545938
-13.65,-4.622122108
-11.63,-4.456090298
-9.667,-4.270067076
-7.879,-4.091564499
-6.105,-3.91748046
-4.483,-3.743877195
-2.899,-3.582443788
-1.416,-3.420331335
-0.0125,-3.267825996
1.255,-3.130996097
2.64,-2.992870955
4.072,-2.850336703
5.44,-2.68534744
6.973,-2.529720862
8.385,-2.390600343
9.727,-2.224156537
11.15,-2.073464335
12.36,-1.907951844
13.66,-1.73897104
14.95,-1.592997876
16,-1.429197692
17.2,-1.278357133
18.23,-1.130567916
19.2,-0.988871951
20.09,-0.84491991
21.01,-0.724242827
21.67,-0.60774645
22.39,-0.473336399
23.25,-0.346070376
24.01,-0.207513189
24.72,-0.08762038
25.33,0.059306498
26.1,0.197837546
26.84,0.340216951
27.44,0.489120482
28.03,0.632251588
28.71,0.78090156
29.41,0.929311305
30.18,1.074431624
30.92,1.225312927
31.49,1.378940501
32.07,1.526042313
32.66,1.694909793
33.21,1.860002685
33.9,2.019273146
34.15,2.198726718
34.53,2.394382312
34.56,2.593707099
33.96,2.636160196
32.23,2.651253781
28.36,2.56188562
24.42,2.385850751
20.96,2.217609117
17.96,2.041760791
15.27,1.874722137
12.79,1.711574601
10.65,1.547957381
8.67,1.406435718
6.673,1.257171648
4.727,1.109604465
2.902,0.957321558
1.138,0.802189915
-0.5146,0.664674451
-1.942,0.532238664
-3.296,0.401962595
-4.674,0.269749471
-6.106,0.121677169
-7.39,-0.02316096
-8.577,-0.18168473
-9.788,-0.329855226
-10.9,-0.490834593
-11.98,-0.650616449
-13.04,-0.805939583
-14.09,-0.969155604
-15.1,-1.120745906
-16.11,-1.275167272
-16.98,-1.43359676
-17.87,-1.59111225
-18.85,-1.751038982
-19.38,-1.92143051
-20.11,-2.073079687
-20.67,-2.242951454
-21.21,-2.401384048
-21.78,-2.549287154
-22.09,-2.717464045
-22.54,-2.871837914
-22.96,-3.019894111
-23.35,-3.19719411
-23.71,-3.340373113
-24.03,-3.498180081
-24.28,-3.655059085
-24.74,-3.805341658
-25.05,-3.951310387
-25.45,-4.111094695
-25.76,-4.257203998
-26.15,-4.408676405
-26.48,-4.561427784
-26.97,-4.712978688
-27.34,-4.873961323
-27.61,-5.026424183
-27.97,-5.182626024
-28.37,-5.33793535
-28.65,-5.501276756
-29,-5.653229903
-29.35,-5.821306305
-29.73,-5.983858534
-30.02,-6.15240271
-30.24,-6.331563686
-30.39,-6.528312002
-29.45,-6.651952547
-28.63,-6.65882682
-28.26,-6.645784319
-27.03,-6.50196221
-25.16,-6.306185795
-23.57,-6.110906773
-21.97,-5.898673774
-20.47,-5.701965949
-17.97,-5.471148221
-15.32,-5.232475613
-12.87,-4.987935357
-10.71,-4.740434808
-8.629,-4.504883066
-6.52,-4.267144304
-4.528,-4.044542696
-2.57,-3.824033712
-0.7263,-3.620457592
1.028,-3.41916454
2.76,-3.243125789
4.565,-3.038815376
6.15,-2.817814036
7.817,-2.605226515
9.52,-2.396690709
11.06,-2.176587891
12.6,-1.972245741
14.22,-1.758808097
15.73,-1.54700899
17.05,-1.349320428
18.39,-1.14048967
19.53,-0.95578079
20.47,-0.777760228
21.26,-0.592371038
22.1,-0.408914397
23.05,-0.22543738
23.9,-0.039209209
24.66,0.166126863
25.5,0.35619563
26.37,0.555154837
27.2,0.747763342
27.99,0.952200541
28.81,1.148980811
29.76,1.360782013
30.54,1.57601995
31.42,1.790980751
32.22,2.011755257
32.88,2.26252969
33.24,2.506137897
33.53,2.771586809
33.8,3.025837251
33.9,3.285550059
33.74,3.558593258
32.75,3.616775238
30.58,3.619777376
25.1,3.430335465
20.65,3.169066774
17.04,2.88927477
13.86,2.651988871
11.04,2.411743055
8.553,2.210276422
6.144,1.986555995
3.77,1.77356248
1.601,1.564413402
-0.4461,1.35232676
-2.242,1.161985718
-3.972,0.980984995
-5.779,0.770482813
-7.52,0.572352184
-9.03,0.35884013
-10.33,0.14996999
-11.63,-0.068486291
-12.85,-0.276483833
-13.93,-0.500369012
-15,-0.713705519
-16.05,-0.932679425
-16.87,-1.156142416
-17.86,-1.372908781
-18.66,-1.60008806
-19.37,-1.820786127
-19.97,-2.037312851
-20.54,-2.253582194
-21.14,-2.476110367
-21.59,-2.687110565
-22.11,-2.906795555
-22.58,-3.120278571
-22.98,-3.323401752
-23.41,-3.540337915
-23.75,-3.745727054
-24.17,-3.960606898
-24.59,-4.172196451
-24.95,-4.37154125
-25.41,-4.58212248
-25.81,-4.792108985
-26.16,-4.992743603
-26.64,-5.195420964
-27.11,-5.409903726
-27.49,-5.616181282
-27.78,-5.825959595
-28.09,-6.04916685
-28.32,-6.29090601
-28.44,-6.538400736
-28.57,-6.778443358
-28.57,-7.049191905
-28.63,-7.303051253
-28.56,-7.552713416
-28.33,-7.822873161
-28.12,-7.906913687
-27.02,-7.907447401
-25.96,-7.786817084
-24.17,-7.585243821
-22.38,-7.379692917
-20.58,-7.163311953
-17.88,-6.9129808
-15.31,-6.65732259
-13.1,-6.412284932
-11.15,-6.172302774
-9.301,-5.931779686
-7.425,-5.676497437
-5.622,-5.449455224
-3.872,-5.206160389
-2.254,-4.982934761
-0.6133,-4.75715582
0.75,-4.540880354
2.026,-4.329518858
3.379,-4.127023629
4.862,-3.901638423
6.14,-3.681062842
7.357,-3.459994043
8.535,-3.240857069
9.947,-3.024659561
11.29,-2.810484035
12.46,-2.588883548
13.61,-2.371516285
14.77,-2.166077881
15.72,-1.943839397
16.69,-1.733623577
17.7,-1.529116178
18.51,-1.317774142
19.34,-1.11615766
20.14,-0.915732172
21,-0.721652227
21.93,-0.531930753
22.59,-0.339450676
23.42,-0.14468262
24.08,0.060397446
24.62,0.267324679
25.28,0.473909325
25.83,0.685847447
26.42,0.89320055
26.98,1.100851552
27.53,1.321186876
28,1.539588491
28.54,1.763228809
29.08,1.987153004
29.71,2.244186809
30.4,2.486489177
30.69,2.746200225
31.12,3.019733084
31.63,3.284593537
32.03,3.571916679
31.25,3.7290748
29.58,3.718472517
25.06,3.591915627
21.14,3.335441828
17.8,3.057313365
15.15,2.802494289
12.61,2.556179933
10.43,2.325599842
8.17,2.098534151
6.021,1.88285044
3.912,1.656064677
1.833,1.440597393
-0.1224,1.229132842
-1.77,1.023345182
-3.413,0.824254343
-5.043,0.626750288
-6.586,0.410690092
-8.083,0.185619096
-9.385,-0.038734522
-10.45,-0.241803991
-11.58,-0.462094697
-12.58,-0.691532297
-13.47,-0.909923422
-14.44,-1.133057092
-15.24,-1.365743845
-16.11,-1.590433936
-16.74,-1.813887132
-17.45,-2.045505191
-18.01,-2.269738642
-18.59,-2.484407962
-19.22,-2.708953644
-19.8,-2.923553505
-20.38,-3.147081406
-21.18,-3.360712682
-21.41,-3.586976158
-21.84,-3.797024474
-22.16,-4.021452158
-22.59,-4.236444612
-22.88,-4.457614563
-23.19,-4.673593783
-23.48,-4.902527001
-23.77,-5.110611868
-24.12,-5.316294728
-24.39,-5.538941361
-24.66,-5.762914005
-24.96,-5.966157707
-25.26,-6.194189689
-25.52,-6.404064643
-25.85,-6.6204268
-26.13,-6.849556378
-26.43,-7.063320032
-26.63,-7.297859778
-26.81,-7.531196461
-27.03,-7.751786173
-26.99,-7.864310253
-23.86,-7.696317414
-21.6,-7.452641878
-19.24,-7.185845776
-15.79,-6.889369129
-13.32,-6.582730077
-11.09,-6.28593856
-9.046,-5.987951893
-7.02,-5.691518688
-4.93,-5.406970454
-3.025,-5.123541316
-1.172,-4.839391042
0.5839,-4.575801103
2.188,-4.326422626
3.861,-4.049558974
5.478,-3.775933129
6.676,-3.505200115
8.088,-3.228678421
9.47,-2.953629378
10.65,-2.682149817
11.86,-2.416424291
13.34,-2.131331662
14.73,-1.875083653
15.83,-1.59763238
16.94,-1.312510404
18.08,-1.055625788
18.97,-0.787783452
19.87,-0.52141145
20.66,-0.266754572
21.56,-0.010740407
22.43,0.250549999
23.29,0.528648855
24.21,0.790790069
25.06,1.050402516
25.91,1.32883256
26.72,1.594287902
27.48,1.888444411
28.22,2.166636768
28.88,2.472764599
29.35,2.808004063
30.06,3.111936629
30.61,3.443061969
31.14,3.770799421
31.6,4.106758618
31.83,4.439278666
31.99,4.758183886
32.18,5.075723666
32.23,5.398484156
32.18,5.709211964
31.39,5.854247419
29.56,5.835116685
24.25,5.584425733
20.6,5.239101227
17.54,4.863377226
14.86,4.538405534
12.4,4.198113715
10.44,3.902818296
8.322,3.604497677
6.18,3.303735209
4.1,2.994169916
1.979,2.707837885
-0.08333,2.398622132
-2.077,2.135359778
-3.955,1.870845239
-5.913,1.600191846
-7.864,1.313307042
-9.531,1.018984532
-10.98,0.7190892
-12.06,0.426975806
-13.01,0.146833008
-13.73,-0.148283617
-14.49,-0.420544279
-15.13,-0.721703165
-15.81,-1.002136501
-16.35,-1.281602114
-16.95,-1.566551743
-17.51,-1.846851405
-18.03,-2.112682875
-18.6,-2.398413168
-19.17,-2.674092525
-19.7,-2.947936942
-20.23,-3.223438188
-20.69,-3.497806265
-21.21,-3.777258546
-21.64,-4.048369807
-22.02,-4.318757854
-22.39,-4.589216852
-22.74,-4.85510095
-23.11,-5.121522483
-23.44,-5.388770935
-23.76,-5.663516828
-24.12,-5.930397072
-24.43,-6.188405701
-24.86,-6.463191839
-25.18,-6.744371816
-25.46,-7.003331128
-25.77,-7.281413456
-26.01,-7.576578417
-26.08,-7.86747174
-26.25,-8.166098249
-26.38,-8.467127724
-26.55,-8.759357599
-26.53,-9.070511123
-26.54,-9.360115292
-26.43,-9.641836047
-25.76,-9.808885616
-24.64,-9.795803374
-22.66,-9.546612316
-20.65,-9.2655566
-16.96,-8.94771364
-14.44,-8.65639869
-12.45,-8.357050483
-11.1,-8.062870773
-9.664,-7.7784482
-7.798,-7.488034222
-6.301,-7.199808253
-4.793,-6.917748447
-3.303,-6.624986877
-2.228,-6.348173373
-0.5633,-6.063278012
0.5237,-5.786579408
1.62,-5.526741015
2.639,-5.241310612
3.791,-4.976883969
4.904,-4.690163467
5.784,-4.42485848
6.812,-4.129599478
7.803,-3.850439468
8.826,-3.560322209
9.779,-3.279270212
10.83,-2.991473991
11.8,-2.708351334
12.88,-2.426218438
13.78,-2.120531978
14.93,-1.836582872
15.77,-1.548048784
16.76,-1.257000941
17.6,-0.960478709
18.26,-0.671785629
18.86,-0.381204195
19.62,-0.102391333
20.2,0.179442618
20.81,0.455687865
21.34,0.722173549
22.17,1.014274124
22.67,1.296149883
23.42,1.569018904
24.06,1.854161653
24.63,2.122986419
25.12,2.416208137
25.74,2.710403259
26.32,2.994059932
26.9,3.297442898
27.52,3.598134387
27.93,3.903938347
28.43,4.206210875
28.75,4.528667733
29.14,4.839388446
29.2,5.173614734
29.48,5.474411178
29.5,5.804072302
29.03,5.930047558
24.97,5.925040817
21.73,5.623082022
19.43,5.308113841
16.98,4.971753857
15.27,4.659164616
13.57,4.330913402
12.14,4.019713431
10.6,3.717007219
9.046,3.422251198
7.414,3.118127454
5.708,2.819916277
4.005,2.506397391
2.154,2.206704501
0.3688,1.898963494
-1.357,1.602443665
-3.05,1.348287669
-4.589,1.066625593
-6.237,0.786353536
-7.698,0.479248142
-9.103,0.192031932
-10.18,-0.1153351
-11.09,-0.391229678
-11.87,-0.702606408
-12.46,-0.983291838
-13.14,-1.274236143
-13.74,-1.548841683
-14.32,-1.838302521
-14.95,-2.114101913
-15.55,-2.414063237
-16.17,-2.694717286
-16.87,-2.969443556
-17.32,-3.250786166
-17.74,-3.530219464
-18.25,-3.808524196
-18.59,-4.084434266
-19.05,-4.355245089
-19.5,-4.626687938
-19.97,-4.903656946
-20.39,-5.171587169
-21.07,-5.436371605
-21.22,-5.709282534
-21.72,-5.975713151
-22.15,-6.246319673
-22.55,-6.51274808
-22.91,-6.775161751
-23.2,-7.035662792
-23.53,-7.297465439
-23.89,-7.55985123
-24.14,-7.838954851
-24.45,-8.104007801
-24.79,-8.370541262
-25.03,-8.634902237
-25.35,-8.890775254
-25.64,-9.170960846
-25.75,-9.440598226
-25.23,-9.607640105
-24.86,-9.58986776
-24.24,-9.587890692
-23.12,-9.490647595
-20.3,-9.188591438
-16.98,-8.851750098
-14.4,-8.51668793
-12.56,-8.186324071
-10.98,-7.849654657
-9.5,-7.510787844
-8.08,-7.190593043
-6.716,-6.858380348
-5.329,-6.531681595
-4.024,-6.183826001
-2.695,-5.85013427
-1.686,-5.515448247
-0.5133,-5.191583306
0.5932,-4.877680889
1.815,-4.565323452
3.105,-4.246457448
4.393,-3.914679645
5.734,-3.58938212
6.984,-3.267726986
8.216,-2.931076771
9.224,-2.581936684
10.39,-2.239159333
11.76,-1.903800012
12.86,-1.548794333
13.79,-1.189918622
