Fh [kN],u [mm]
-28.4,-0.930467043
-27.9,-0.939577635
-27.58,-0.94167138
-27.29,-0.939817336
-27.04,-0.942094032
-27.32,-0.906135781
-26.93,-0.901850723
-26.64,-0.878426452
-26.33,-0.868203908
-25.97,-0.849480371
-25.65,-0.841633802
-24.92,-0.820189382
-24.87,-0.811440502
-24.59,-0.794421639
-24.27,-0.774647977
-24.03,-0.763731638
-23.74,-0.749450091
-23.49,-0.734710423
-23.17,-0.713793153
-22.89,-0.699017311
-22.64,-0.678044303
-22.41,-0.664937547
-22.09,-0.646749219
-21.86,-0.627432564
-21.58,-0.617823945
-21.34,-0.598429226
-21.07,-0.582842603
-20.82,-0.565091587
-20.56,-0.547281907
-20.29,-0.531489896
-20.08,-0.514729657
-19.88,-0.500894807
-19.18,-0.485989884
-18.97,-0.471407083
-18.87,-0.452565874
-18.42,-0.434930093
-18.12,-0.422459522
-17.81,-0.4077267
-17.26,-0.397390202
-16.84,-0.370310916
-16.45,-0.35895333
-15.97,-0.346785345
-15.38,-0.328863318
-15.01,-0.31108956
-14.6,-0.297784934
-13.69,-0.280237347
-13.45,-0.261427952
-12.77,-0.247497748
-12.27,-0.233421435
-11.71,-0.219204349
-11.06,-0.202851297
-10.5,-0.188729971
-9.901,-0.178516187
-9.345,-0.163774353
-8.699,-0.151795595
-8.052,-0.136230202
-7.421,-0.116241797
-6.777,-0.105226785
-6.012,-0.094737149
-5.337,-0.083373152
-4.733,-0.068854774
-3.992,-0.057122418
-3.346,-0.046777397
-2.698,-0.034754772
-2.085,-0.021641738
-1.583,-0.00892746
-0.9432,-0.00046443
-0.4177,0.011326267
0.1247,0.020074737
0.9557,0.037059687
1.324,0.042106657
1.643,0.047831856
2.202,0.064237157
2.767,0.067122024
3.301,0.077507309
4.002,0.092422675
4.596,0.100638195
5.274,0.111063853
5.906,0.11842427
6.598,0.13194721
7.27,0.149118243
7.92,0.160082498
8.626,0.171026539
9.333,0.178619489
10.01,0.192538889
10.66,0.207799643
11.41,0.218544993
12.12,0.232092215
12.84,0.23959467
13.59,0.255499395
14.3,0.267825588
15.03,0.283527388
15.84,0.295497457
16.49,0.317910589
17.23,0.330851695
18.02,0.344576015
18.72,0.367606719
19.38,0.388012731
20.23,0.401315199
20.86,0.408919574
21.5,0.42765891
22.39,0.445552044
22.99,0.461491559
23.65,0.48836529
24.36,0.499612152
25.03,0.515406493
25.73,0.532855884
26.43,0.542176729
27.1,0.565093746
27.76,0.583602182
28.45,0.593981877
29.09,0.618650979
29.88,0.633673487
30.42,0.644619797
31.12,0.670476522
31.88,0.691375279
32.53,0.704109037
33.13,0.721603826
33.8,0.742752689
34.46,0.757941955
35.15,0.77912255
35.69,0.800830258
36.26,0.814895579
35.92,0.814956933
35.75,0.817936504
34.46,0.803455468
34.37,0.805504816
34.45,0.793202152
34.36,0.802793666
32.95,0.780467378
31.6,0.77222679
30.44,0.757834025
29.21,0.737940476
27.99,0.724348084
26.95,0.706734677
25.86,0.700402792
24.68,0.674100532
23.61,0.670101871
22.69,0.648479018
21.59,0.63225732
20.64,0.618790112
19.47,0.599423021
18.64,0.591496634
17.64,0.574242287
16.72,0.550906719
15.74,0.53310705
14.78,0.527130707
13.84,0.511879537
12.98,0.501114842
12.09,0.477383279
11.18,0.471035423
10.34,0.445613095
9.463,0.43762228
