load_step_names,image_names,Fh [kN],u [mm],Fv_total [kN],Fv_s [kN],Fv_n [kN],lv1 [mm],lv2 [mm],lv3 [mm],lv4 [mm],lv5 [mm],lv6 [mm],lv7 [mm],lv8 [mm],lv9 [mm],lv10 [mm],lv11 [mm],lv12 [mm],lv13 [mm],lv14 [mm]
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0026,0.3951,NaN,-20.139,-9.909,-10.23,-0.1541,-0.05936,0.02061,-0.09185,-0.00041,0,-0.00027,0.00018,0.00077,-0.00062,0,0.00042,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0027,0.413,NaN,-20.177,-9.947,-10.23,-0.154,-0.05933,0.02027,-0.09202,-0.00044,0,-0.00026,0.0002,0.00084,-0.00064,-0.00011,0.00038,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0028,0.00182,NaN,-20.17,-10.03,-10.14,-0.1538,-0.05928,0.0298,-0.1038,-0.00044,0.0001,-0.00023,0.00022,0.00146,-0.00058,0,0.00043,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0029,0.3693,NaN,-20.22,-10.11,-10.11,-0.1539,-0.05931,0.02636,-0.09902,-0.00045,0,-0.0003,0.0002,0.00124,-0.00066,0,0.0004,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0030,-0.08229,NaN,-20.09,-10.08,-10.01,-0.1537,-0.05921,0.02894,-0.1076,-0.00041,0.0001,-0.00017,0.00022,0.00155,-0.0006,0,0.0004,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0031,-0.07969,NaN,-20.063,-10.1,-9.963,-0.1538,-0.05931,0.02564,-0.106,-0.00043,0,-0.0002,0.00016,0.00145,-0.00062,-0.00011,0.00042,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0032,-0.09401,NaN,-20.148,-10.2,-9.948,-0.1537,-0.05926,0.02876,-0.109,-0.00041,0.00011,-0.00022,0.00022,0.00155,-0.00059,0,0.00041,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0033,-0.1505,NaN,-19.995,-10.1,-9.895,-0.1537,-0.05921,0.02915,-0.1095,-0.00042,0,-0.00025,0.0002,0.00157,-0.00067,0,0.00039,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0034,0.3323,NaN,-21.58,-10.86,-10.72,-0.1537,-0.05919,0.01387,-0.1028,-0.00029,0,-0.00016,0,0.00077,-0.00097,0,0.00045,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0035,0.3445,NaN,-22.55,-11.21,-11.34,-0.1536,-0.05918,0.01416,-0.1017,-0.00029,0,-0.00013,0,0.00065,-0.00095,0,0.00041,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0036,0.3169,NaN,-22.33,-11.09,-11.24,-0.1537,-0.05916,0.01587,-0.1026,-0.00035,0,-0.00018,0,0.00082,-0.00101,0,0.00039,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0037,0.05234,NaN,-20.46,-10.32,-10.14,-0.1536,-0.05921,0.01937,-0.1059,-0.00026,0,-0.00014,0,0.0013,-0.00095,0,0.0004,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0038,0.3109,NaN,-22.02,-11,-11.02,-0.1536,-0.05923,0.01493,-0.1023,-0.00032,0,-0.00021,0,0.0008,-0.00104,0,0.00037,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0039,0.326,NaN,-21.96,-10.97,-10.99,-0.1535,-0.05924,0.01736,-0.1028,-0.00027,0,-0.00012,0,0.00098,-0.00095,0,0.00044,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0040,0.06224,NaN,-20.59,-10.37,-10.22,-0.1536,-0.05933,0.01845,-0.1062,-0.0003,0,-0.00021,0,0.00121,-0.00099,0,0.0004,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0041,0.2779,NaN,-21.47,-10.8,-10.67,-0.1537,-0.05928,0.01473,-0.1039,-0.00025,0,-0.00012,0,0.00087,-0.00097,0,0.00038,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0042,0.3323,NaN,-21.94,-10.96,-10.98,-0.1535,-0.05919,0.01695,-0.1029,-0.00025,0,-0.00012,0,0.00096,-0.00095,0,0.00042,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0043,0.02266,NaN,-20.65,-10.37,-10.28,-0.1537,-0.05919,0.0172,-0.1058,-0.00027,0,-0.00017,0,0.00121,-0.00093,0,0.00041,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0044,0.2875,NaN,-22.17,-11.03,-11.14,-0.1536,-0.05906,0.01478,-0.1025,-0.00033,0,-0.00018,0,0.00086,-0.00101,0,0.00044,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0045,0.00156,NaN,-21.27,-10.57,-10.7,-0.1536,-0.05918,0.01901,-0.1055,-0.00032,0,-0.0002,0,0.0012,-0.001,0,0.00039,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0046,0.00547,NaN,-21.58,-10.72,-10.86,-0.1536,-0.05918,0.01475,-0.1047,-0.00026,0,-0.00016,0,0.00099,-0.001,0,0.00037,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0047,0.1724,NaN,-23,-11.38,-11.62,-0.1536,-0.05915,0.01329,-0.1057,-0.00029,0,-0.00013,0,0.00077,-0.00102,0,0.00044,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0048,0.4089,NaN,-22.61,-11.51,-11.1,-0.1535,-0.05921,0.01533,-0.1106,-0.00024,0,-0.00011,0,0.00099,-0.00107,0,0.00048,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0049,-0.02891,NaN,-23.57,-11.83,-11.74,-0.1536,-0.05916,0.01261,-0.1153,-0.00027,0,-0.00016,0,0.0009,-0.00117,0,0.0004,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0050,0.1534,NaN,-23.42,-11.82,-11.6,-0.1536,-0.05923,0.00874,-0.1127,-0.0002,0,-0.00014,0,0.00071,-0.00128,0,0.00042,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0051,0.4589,NaN,-24.24,-12.26,-11.98,-0.1536,-0.05921,0.00691,-0.1112,-0.00015,0,0,0,0.00041,-0.00127,0,0.00045,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0052,0.4036,NaN,-24.6,-12.49,-12.11,-0.1535,-0.05926,0.00693,-0.1163,-0.00012,0,-0.00013,0,0.00053,-0.00134,0,0.00044,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0053,0.03359,NaN,-25.41,-12.8,-12.61,-0.1537,-0.05921,0.00335,-0.1202,0,0,0,0,0.00047,-0.00138,0,0.00046,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0054,0.363,NaN,-25.75,-12.98,-12.77,-0.1537,-0.05934,0.00131,-0.1164,0,-0.00011,0,-0.00012,0.00012,-0.00149,0,0.00043,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0055,-0.01094,NaN,-26.89,-13.43,-13.46,-0.1537,-0.05931,0.00116,-0.1242,0,0,0,0,0.00024,-0.00149,0,0.00038,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0056,0.1612,NaN,-27.14,-13.47,-13.67,-0.1536,-0.05929,-0.00482,-0.1183,0.00016,-0.00012,0,-0.00016,-0.00014,-0.00159,0,0.00042,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0057,0.2734,NaN,-27.29,-13.62,-13.67,-0.1537,-0.05926,-0.0048,-0.1202,0.00013,-0.0002,0,-0.00012,0,-0.00169,0,0.00042,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0058,0.07396,NaN,-27.66,-13.89,-13.77,-0.1537,-0.05933,-0.00629,-0.1252,0.00021,-0.00016,0,-0.00016,0,-0.00173,0,0.00046,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0059,0.1885,NaN,-28.3,-14.05,-14.25,-0.1536,-0.0591,-0.0113,-0.1216,0.00028,-0.00017,0,-0.00019,-0.00033,-0.00185,0,0.00047,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0060,0.1823,NaN,-28.41,-14.13,-14.28,-0.1536,-0.05915,-0.01166,-0.1229,0.00031,-0.00019,0,-0.00021,-0.00031,-0.00184,0,0.00044,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0061,0.1128,NaN,-26.59,-13.41,-13.18,-0.1536,-0.05906,-0.01251,-0.1235,0.00027,-0.00023,0,-0.00026,0.00016,-0.00191,0,0.00046,0,0
