image_names,cumulative deformation(mm),degraded stiff(KN/mm),times(s)
LS04_to_LS05_RS3_0000,2.2918204819999994,61.27174006657513,97
LS04_to_LS05_RS3_0001,2.2960097639999995,61.27174006657513,98
LS04_to_LS05_RS3_0002,2.3225996929999995,61.27174006657513,99
LS04_to_LS05_RS3_0003,2.3497372879999996,61.27174006657513,100
LS04_to_LS05_RS3_0004,2.3808207719999994,61.27174006657513,101
LS04_to_LS05_RS3_0005,2.4056191229999992,61.27174006657513,102
LS04_to_LS05_RS3_0006,2.437782853999999,61.27174006657513,103
LS04_to_LS05_RS3_0007,2.461822651999999,61.27174006657513,104
LS04_to_LS05_RS3_0008,2.492988898999999,61.27174006657513,105
LS04_to_LS05_RS3_0009,2.522147476999999,61.27174006657513,106
LS04_to_LS05_RS3_0010,2.552818183999999,61.27174006657513,107
LS04_to_LS05_RS3_0011,2.576688278999999,61.27174006657513,108
LS04_to_LS05_RS3_0012,2.601896651999999,61.27174006657513,109
LS04_to_LS05_RS3_0013,2.628445603999999,61.27174006657513,110
LS04_to_LS05_RS3_0014,2.640708638999999,61.27174006657513,111
LS04_to_LS05_RS3_0015,2.6594778679999993,61.27174006657513,112
LS04_to_LS05_RS3_0016,2.681728782999999,61.27174006657513,113
LS04_to_LS05_RS3_0017,2.7004967939999993,61.27174006657513,114
LS04_to_LS05_RS3_0018,2.7232995679999994,61.27174006657513,115
LS04_to_LS05_RS3_0019,2.7511223369999995,61.27174006657513,116
LS04_to_LS05_RS3_0020,2.7741305579999995,61.27174006657513,117
LS04_to_LS05_RS3_0021,2.7974602159999997,61.27174006657513,118
LS04_to_LS05_RS3_0022,2.822786682,61.27174006657513,119
LS04_to_LS05_RS3_0023,2.851519583,61.27174006657513,120
LS04_to_LS05_RS3_0024,2.883208403,61.27174006657513,121
LS04_to_LS05_RS3_0025,2.9144520729999996,61.27174006657513,122
LS04_to_LS05_RS3_0026,2.9400591569999994,61.27174006657513,123
LS04_to_LS05_RS3_0027,2.9703494099999994,61.27174006657513,124
LS04_to_LS05_RS3_0028,2.9996423969999992,61.27174006657513,125
LS04_to_LS05_RS3_0029,3.038670956999999,61.27174006657513,126
LS04_to_LS05_RS3_0030,3.067024768999999,61.27174006657513,127
LS04_to_LS05_RS3_0031,3.097869012999999,61.27174006657513,128
LS04_to_LS05_RS3_0032,3.122799513999999,61.27174006657513,129
LS04_to_LS05_RS3_0033,3.144512881999999,61.27174006657513,130
LS05_to_LS06_RS3_0000,3.148769022999999,61.27174006657513,130
LS05_to_LS06_RS3_0001,3.156786591999999,61.27174006657513,131
LS05_to_LS06_RS3_0002,3.168940725999999,61.27174006657513,132
LS05_to_LS06_RS3_0003,3.205990900999999,61.27174006657513,133
LS05_to_LS06_RS3_0004,3.226019480999999,61.27174006657513,134
LS05_to_LS06_RS3_0005,3.260184035999999,61.27174006657513,135
LS05_to_LS06_RS3_0006,3.283019935999999,61.27174006657513,136
LS05_to_LS06_RS3_0007,3.307369236999999,61.27174006657513,137
LS05_to_LS06_RS3_0008,3.3334357579999994,61.27174006657513,138
LS05_to_LS06_RS3_0009,3.3605121009999994,61.27174006657513,139
LS05_to_LS06_RS3_0010,3.3925129399999996,61.27174006657513,140
LS05_to_LS06_RS3_0011,3.4179823149999997,61.27174006657513,141
LS05_to_LS06_RS3_0012,3.446749728,61.27174006657513,142
LS05_to_LS06_RS3_0013,3.470476346,61.27174006657513,143
LS05_to_LS06_RS3_0014,3.4925576649999996,61.27174006657513,144
LS05_to_LS06_RS3_0015,3.518732514,61.27174006657513,145
LS05_to_LS06_RS3_0016,3.5408696859999997,61.179192930528394,146
LS05_to_LS06_RS3_0017,3.5554789419999997,61.11811716156506,147
LS05_to_LS06_RS3_0018,3.5738381599999998,61.04136422103781,148
LS05_to_LS06_RS3_0019,3.594980266,60.95297707925219,149
LS05_to_LS06_RS3_0020,3.620151587,60.84774531482162,150
LS05_to_LS06_RS3_0021,3.640723854,60.76174045418095,151
LS05_to_LS06_RS3_0022,3.672321875,60.62964108989473,152
