image_names,u [mm],Fh [kN]
LS10_to_LS11_RS3_0086,-1.385064924,-50.04
LS10_to_LS11_RS3_0087,-1.435601167,-50.3
LS10_to_LS11_RS3_0088,-1.484979226,-50.5
LS10_to_LS11_RS3_0089,-1.542068207,-50.63
LS10_to_LS11_RS3_0090,-1.594405168,-50.79
LS10_to_LS11_RS3_0091,-1.645492868,-50.86
LS10_to_LS11_RS3_0092,-1.700714559,-50.96
LS10_to_LS11_RS3_0093,-1.752935598,-51.17
LS10_to_LS11_RS3_0094,-1.80355957,-51.36
LS10_to_LS11_RS3_0095,-1.858139937,-50.96
LS10_to_LS11_RS3_0096,-1.857211381,-50.02
LS11_to_LS12_RS3_0001,-1.881937009,-47.7
LS11_to_LS12_RS3_0002,-1.848868305,-46.37
LS11_to_LS12_RS3_0003,-1.814441788,-43.95
LS11_to_LS12_RS3_0004,-1.773404268,-41.86
LS11_to_LS12_RS3_0005,-1.73513261,-39.95
LS11_to_LS12_RS3_0006,-1.694867065,-38.18
LS11_to_LS12_RS3_0007,-1.663563231,-36.51
LS11_to_LS12_RS3_0008,-1.619436297,-34.88
LS11_to_LS12_RS3_0009,-1.579858174,-33.34
LS11_to_LS12_RS3_0010,-1.538820168,-31.84
LS11_to_LS12_RS3_0011,-1.49574166,-30.38
LS11_to_LS12_RS3_0012,-1.464000578,-28.92
LS11_to_LS12_RS3_0013,-1.425916469,-27.49
LS11_to_LS12_RS3_0014,-1.385847572,-26.12
LS11_to_LS12_RS3_0015,-1.348319217,-24.75
LS11_to_LS12_RS3_0016,-1.311594389,-23.41
LS11_to_LS12_RS3_0017,-1.277486819,-22.07
LS11_to_LS12_RS3_0018,-1.250379808,-20.77
LS11_to_LS12_RS3_0019,-1.210195293,-19.42
LS11_to_LS12_RS3_0020,-1.176605393,-18.16
LS11_to_LS12_RS3_0021,-1.137196357,-16.9
LS11_to_LS12_RS3_0022,-1.096575385,-15.62
LS11_to_LS12_RS3_0023,-1.061826649,-14.42
LS11_to_LS12_RS3_0024,-1.032788752,-13.28
LS11_to_LS12_RS3_0025,-0.993995063,-12.06
LS11_to_LS12_RS3_0026,-0.964438903,-10.85
LS11_to_LS12_RS3_0027,-0.923969575,-9.661
LS11_to_LS12_RS3_0028,-0.897396632,-8.473
LS11_to_LS12_RS3_0029,-0.866581225,-7.337
LS11_to_LS12_RS3_0030,-0.829642606,-6.246
LS11_to_LS12_RS3_0031,-0.794899311,-5.191
LS11_to_LS12_RS3_0032,-0.761852488,-4.1
LS11_to_LS12_RS3_0033,-0.724949538,-3.04
LS11_to_LS12_RS3_0034,-0.695642402,-1.977
LS11_to_LS12_RS3_0035,-0.664464247,-0.9328
LS11_to_LS12_RS3_0036,-0.628836847,0.0401
LS11_to_LS12_RS3_0037,-0.605412374,0.9727
LS11_to_LS12_RS3_0038,-0.576233667,1.793
LS11_to_LS12_RS3_0039,-0.553782938,2.503
LS11_to_LS12_RS3_0040,-0.524151743,3.396
LS11_to_LS12_RS3_0041,-0.49103121,4.327
LS11_to_LS12_RS3_0042,-0.463647121,5.308
LS11_to_LS12_RS3_0043,-0.437358172,6.272
LS11_to_LS12_RS3_0044,-0.403292905,7.253
LS11_to_LS12_RS3_0045,-0.372895683,8.218
LS11_to_LS12_RS3_0046,-0.337376851,9.183
LS11_to_LS12_RS3_0047,-0.300289004,10.19
LS11_to_LS12_RS3_0048,-0.265977705,11.21
LS11_to_LS12_RS3_0049,-0.225073255,12.25
LS11_to_LS12_RS3_0050,-0.191944305,13.26
LS11_to_LS12_RS3_0051,-0.152312455,14.27
LS11_to_LS12_RS3_0052,-0.110018955,15.26
LS11_to_LS12_RS3_0053,-0.074129382,16.25
LS11_to_LS12_RS3_0054,-0.041108844,17.24
LS11_to_LS12_RS3_0055,-0.009280275,18.2
LS11_to_LS12_RS3_0056,0.033069196,19.18
LS11_to_LS12_RS3_0057,0.073503625,20.16
LS11_to_LS12_RS3_0058,0.114414172,21.12
LS11_to_LS12_RS3_0059,0.152021623,22.02
LS11_to_LS12_RS3_0060,0.191994844,22.96
LS11_to_LS12_RS3_0061,0.235077006,23.93
LS11_to_LS12_RS3_0062,0.278195033,24.86
LS11_to_LS12_RS3_0063,0.316667692,25.77
LS11_to_LS12_RS3_0064,0.358295018,26.7
LS11_to_LS12_RS3_0065,0.395772356,27.61
LS11_to_LS12_RS3_0066,0.430093866,28.52
LS11_to_LS12_RS3_0067,0.475315228,29.42
LS11_to_LS12_RS3_0068,0.512139277,30.29
LS11_to_LS12_RS3_0069,0.559378918,31.17
LS11_to_LS12_RS3_0070,0.596505961,32.04
LS11_to_LS12_RS3_0071,0.638652506,32.89
LS11_to_LS12_RS3_0072,0.687830192,33.76
LS11_to_LS12_RS3_0073,0.725391508,34.63
LS11_to_LS12_RS3_0074,0.766893142,35.47
LS11_to_LS12_RS3_0075,0.810367764,36.33
LS11_to_LS12_RS3_0076,0.85426047,37.15
LS11_to_LS12_RS3_0077,0.89188153,37.98
LS11_to_LS12_RS3_0078,0.937245824,38.8
LS11_to_LS12_RS3_0079,0.97368129,39.62
LS11_to_LS12_RS3_0080,1.013667131,40.42
LS11_to_LS12_RS3_0081,1.058552429,41.21
LS11_to_LS12_RS3_0082,1.102840768,41.96
LS11_to_LS12_RS3_0083,1.144977717,42.7
LS11_to_LS12_RS3_0084,1.19553853,43.41
LS11_to_LS12_RS3_0085,1.227752218,44.11
LS11_to_LS12_RS3_0086,1.277303485,44.79
LS11_to_LS12_RS3_0087,1.317495242,45.43
LS11_to_LS12_RS3_0088,1.362741258,46.05
LS11_to_LS12_RS3_0089,1.411680255,46.63
LS11_to_LS12_RS3_0090,1.455411237,47.21
LS11_to_LS12_RS3_0091,1.499076167,47.75
LS11_to_LS12_RS3_0092,1.5455849,48.26
LS11_to_LS12_RS3_0093,1.593335546,48.75
LS11_to_LS12_RS3_0094,1.642492204,49.31
LS11_to_LS12_RS3_0095,1.688721454,49.71
LS12_to_LS13_RS3_0001,1.711947557,46.51
LS12_to_LS13_RS3_0002,1.680358313,44.2
LS12_to_LS13_RS3_0003,1.646837816,42.23
LS12_to_LS13_RS3_0004,1.607775074,40.35
LS12_to_LS13_RS3_0005,1.57857536,38.69
LS12_to_LS13_RS3_0006,1.536575786,37.08
LS12_to_LS13_RS3_0007,1.505245155,35.57
LS12_to_LS13_RS3_0008,1.452715251,34.09
LS12_to_LS13_RS3_0009,1.428812979,32.67
LS12_to_LS13_RS3_0010,1.388375933,31.25
LS12_to_LS13_RS3_0011,1.348295728,29.86
LS12_to_LS13_RS3_0012,1.316727517,28.49
LS12_to_LS13_RS3_0013,1.27656658,27.14
LS12_to_LS13_RS3_0014,1.237060075,25.8
LS12_to_LS13_RS3_0015,1.205330696,24.5
LS12_to_LS13_RS3_0016,1.169469769,23.21
LS12_to_LS13_RS3_0017,1.123394042,21.93
LS12_to_LS13_RS3_0018,1.089354225,20.6
LS12_to_LS13_RS3_0019,1.05345348,19.38
LS12_to_LS13_RS3_0020,1.009601244,18.14
LS12_to_LS13_RS3_0021,0.97552053,16.9
LS12_to_LS13_RS3_0022,0.936202109,15.7
LS12_to_LS13_RS3_0023,0.899502554,14.53
LS12_to_LS13_RS3_0024,0.862890862,13.31
LS12_to_LS13_RS3_0025,0.833153652,12.12
LS12_to_LS13_RS3_0026,0.798278877,10.98
LS12_to_LS13_RS3_0027,0.772161223,9.821
LS12_to_LS13_RS3_0028,0.73081599,8.713
LS12_to_LS13_RS3_0029,0.699517591,7.57
LS12_to_LS13_RS3_0030,0.667035345,6.45
LS12_to_LS13_RS3_0031,0.634908459,5.283
LS12_to_LS13_RS3_0032,0.594118295,4.079
LS12_to_LS13_RS3_0033,0.554533859,2.908
LS12_to_LS13_RS3_0034,0.52976136,1.885
LS12_to_LS13_RS3_0035,0.495302249,0.9721
LS12_to_LS13_RS3_0036,0.467046441,0.04896
LS12_to_LS13_RS3_0037,0.441507569,-0.8375
LS12_to_LS13_RS3_0038,0.415647984,-1.729
LS12_to_LS13_RS3_0039,0.388580445,-2.491
LS12_to_LS13_RS3_0040,0.36957995,-3.323
LS12_to_LS13_RS3_0041,0.339551524,-4.293
LS12_to_LS13_RS3_0042,0.304588089,-5.282
LS12_to_LS13_RS3_0043,0.265811096,-6.31
LS12_to_LS13_RS3_0044,0.233182872,-7.328
LS12_to_LS13_RS3_0045,0.20306063,-8.341
LS12_to_LS13_RS3_0046,0.167649797,-9.352
LS12_to_LS13_RS3_0047,0.129663781,-10.4
LS12_to_LS13_RS3_0048,0.09556935,-11.47
LS12_to_LS13_RS3_0049,0.057619911,-12.5
LS12_to_LS13_RS3_0050,0.02707105,-13.55
LS12_to_LS13_RS3_0051,-0.01422107,-14.55
LS12_to_LS13_RS3_0052,-0.04554043,-15.6
LS12_to_LS13_RS3_0053,-0.082775129,-16.6
LS12_to_LS13_RS3_0054,-0.114965952,-17.59
LS12_to_LS13_RS3_0055,-0.158918387,-18.61
LS12_to_LS13_RS3_0056,-0.200391358,-19.65
LS12_to_LS13_RS3_0057,-0.238868745,-20.65
LS12_to_LS13_RS3_0058,-0.279700705,-21.63
LS12_to_LS13_RS3_0059,-0.315067926,-22.59
LS12_to_LS13_RS3_0060,-0.352989386,-23.56
LS12_to_LS13_RS3_0061,-0.393639056,-24.53
LS12_to_LS13_RS3_0062,-0.433154932,-25.45
LS12_to_LS13_RS3_0063,-0.466257468,-26.33
LS12_to_LS13_RS3_0064,-0.505783107,-27.24
LS12_to_LS13_RS3_0065,-0.547119602,-28.13
LS12_to_LS13_RS3_0066,-0.584571047,-29.01
LS12_to_LS13_RS3_0067,-0.62934444,-29.86
LS12_to_LS13_RS3_0068,-0.67268002,-30.72
LS12_to_LS13_RS3_0069,-0.717620249,-31.59
LS12_to_LS13_RS3_0070,-0.750305259,-32.37
LS12_to_LS13_RS3_0071,-0.791928979,-33.29
LS12_to_LS13_RS3_0072,-0.840168147,-34.11
LS12_to_LS13_RS3_0073,-0.879626786,-34.95
LS12_to_LS13_RS3_0074,-0.925645989,-35.77
LS12_to_LS13_RS3_0075,-0.968214885,-36.61
LS12_to_LS13_RS3_0076,-1.006386046,-37.4
LS12_to_LS13_RS3_0077,-1.046795714,-38.23
LS12_to_LS13_RS3_0078,-1.092187756,-39.03
LS12_to_LS13_RS3_0079,-1.14000403,-39.84
LS12_to_LS13_RS3_0080,-1.185927822,-40.63
LS12_to_LS13_RS3_0081,-1.227513022,-41.41
LS12_to_LS13_RS3_0082,-1.269365603,-42.18
LS12_to_LS13_RS3_0083,-1.316685758,-42.94
LS12_to_LS13_RS3_0084,-1.350797744,-43.69
LS12_to_LS13_RS3_0085,-1.396075059,-44.42
LS12_to_LS13_RS3_0086,-1.444150496,-45.15
LS12_to_LS13_RS3_0087,-1.488436716,-45.82
LS12_to_LS13_RS3_0088,-1.539975775,-46.47
LS12_to_LS13_RS3_0089,-1.587587758,-47.07
LS12_to_LS13_RS3_0090,-1.631524183,-47.64
LS12_to_LS13_RS3_0091,-1.679974767,-48.19
LS12_to_LS13_RS3_0092,-1.72927143,-48.72
LS12_to_LS13_RS3_0093,-1.774265731,-49.18
LS13_to_LS14_RS3_0001,-1.807426195,-46.43
LS13_to_LS14_RS3_0002,-1.735166801,-41.99
LS13_to_LS14_RS3_0003,-1.650184384,-38.51
LS13_to_LS14_RS3_0004,-1.57967837,-35.45
LS13_to_LS14_RS3_0005,-1.498949453,-32.62
LS13_to_LS14_RS3_0006,-1.422530685,-29.91
LS13_to_LS14_RS3_0007,-1.343384808,-27.3
LS13_to_LS14_RS3_0008,-1.271610269,-24.79
LS13_to_LS14_RS3_0009,-1.202764086,-22.32
LS13_to_LS14_RS3_0010,-1.125314116,-19.95
LS13_to_LS14_RS3_0011,-1.045388639,-17.46
LS13_to_LS14_RS3_0012,-0.975675051,-15.03
LS13_to_LS14_RS3_0013,-0.911172973,-12.73
LS13_to_LS14_RS3_0014,-0.83823564,-10.35
LS13_to_LS14_RS3_0015,-0.77271798,-8.042
LS13_to_LS14_RS3_0016,-0.70268123,-5.866
LS13_to_LS14_RS3_0017,-0.638325052,-3.766
LS13_to_LS14_RS3_0018,-0.569303661,-1.668
LS13_to_LS14_RS3_0019,-0.507712393,0.3083
LS13_to_LS14_RS3_0020,-0.452480743,1.982
LS13_to_LS14_RS3_0021,-0.405242452,3.67
LS13_to_LS14_RS3_0022,-0.339217215,5.594
LS13_to_LS14_RS3_0023,-0.27714423,7.563
LS13_to_LS14_RS3_0024,-0.212546948,9.542
LS13_to_LS14_RS3_0025,-0.130783155,11.61
LS13_to_LS14_RS3_0026,-0.055243524,13.64
LS13_to_LS14_RS3_0027,0.018860767,15.64
LS13_to_LS14_RS3_0028,0.089884698,17.6
LS13_to_LS14_RS3_0029,0.175736342,19.53
LS13_to_LS14_RS3_0030,0.257769932,21.42
LS13_to_LS14_RS3_0031,0.330486842,23.28
LS13_to_LS14_RS3_0032,0.413601408,25.12
LS13_to_LS14_RS3_0033,0.491137629,26.91
LS13_to_LS14_RS3_0034,0.568849303,28.68
LS13_to_LS14_RS3_0035,0.662939893,30.46
LS13_to_LS14_RS3_0036,0.736505018,32.2
LS13_to_LS14_RS3_0037,0.823008071,33.91
LS13_to_LS14_RS3_0038,0.905177113,35.59
LS13_to_LS14_RS3_0039,0.982647529,37.3
LS13_to_LS14_RS3_0040,1.076849687,38.95
LS13_to_LS14_RS3_0041,1.156575807,40.61
LS13_to_LS14_RS3_0042,1.242863394,42.27
LS13_to_LS14_RS3_0043,1.328941047,43.88
LS13_to_LS14_RS3_0044,1.403738679,45.43
LS13_to_LS14_RS3_0045,1.499239936,46.86
LS13_to_LS14_RS3_0046,1.591768575,48.17
LS13_to_LS14_RS3_0047,1.674347168,49.33
LS13_to_LS14_RS3_0048,1.76988495,50.34
LS13_to_LS14_RS3_0049,1.86578233,51.24
LS13_to_LS14_RS3_0050,1.958412255,52.01
LS13_to_LS14_RS3_0051,2.058921645,52.68
LS13_to_LS14_RS3_0052,2.154789486,53.15
LS13_to_LS14_RS3_0053,2.252311518,53.51
LS13_to_LS14_RS3_0054,2.347687386,53.84
LS13_to_LS14_RS3_0055,2.452181278,54.04
LS13_to_LS14_RS3_0056,2.555835008,54.27
LS13_to_LS14_RS3_0057,2.607948261,53.37
LS14_to_LS15_RS3_0001,2.628478193,50.92
LS14_to_LS15_RS3_0002,2.561267823,46.55
LS14_to_LS15_RS3_0003,2.47773424,43.65
LS14_to_LS15_RS3_0004,2.40048462,41.03
LS14_to_LS15_RS3_0005,2.315037788,38.59
LS14_to_LS15_RS3_0006,2.237739096,36.32
LS14_to_LS15_RS3_0007,2.155321761,34.07
LS14_to_LS15_RS3_0008,2.069473496,31.84
LS14_to_LS15_RS3_0009,1.983105066,29.66
LS14_to_LS15_RS3_0010,1.89892572,27.5
LS14_to_LS15_RS3_0011,1.810661948,25.35
LS14_to_LS15_RS3_0012,1.733254209,23.22
LS14_to_LS15_RS3_0013,1.663830668,21.16
LS14_to_LS15_RS3_0014,1.57963629,19.06
LS14_to_LS15_RS3_0015,1.510395301,16.97
LS14_to_LS15_RS3_0016,1.420402014,14.93
LS14_to_LS15_RS3_0017,1.351385872,12.94
LS14_to_LS15_RS3_0018,1.282432814,11.04
LS14_to_LS15_RS3_0019,1.214599901,9.128
LS14_to_LS15_RS3_0020,1.139065787,7.228
LS14_to_LS15_RS3_0021,1.067804136,5.184
LS14_to_LS15_RS3_0022,0.989453469,3.129
LS14_to_LS15_RS3_0023,0.9256697,1.319
LS14_to_LS15_RS3_0024,0.862139632,-0.3771
LS14_to_LS15_RS3_0025,0.807374072,-1.995
LS14_to_LS15_RS3_0026,0.744419185,-3.521
LS14_to_LS15_RS3_0027,0.674357088,-5.343
LS14_to_LS15_RS3_0028,0.605187075,-7.229
LS14_to_LS15_RS3_0029,0.541880293,-9.086
LS14_to_LS15_RS3_0030,0.467156494,-10.98
LS14_to_LS15_RS3_0031,0.392271785,-12.9
LS14_to_LS15_RS3_0032,0.316705994,-14.75
LS14_to_LS15_RS3_0033,0.233827201,-16.6
LS14_to_LS15_RS3_0034,0.159978569,-18.44
LS14_to_LS15_RS3_0035,0.07792386,-20.24
LS14_to_LS15_RS3_0036,-0.00566605,-21.98
LS14_to_LS15_RS3_0037,-0.088009622,-23.65
LS14_to_LS15_RS3_0038,-0.167221192,-25.23
LS14_to_LS15_RS3_0039,-0.249618832,-26.78
LS14_to_LS15_RS3_0040,-0.337109802,-28.3
LS14_to_LS15_RS3_0041,-0.415922359,-29.81
LS14_to_LS15_RS3_0042,-0.504127691,-31.27
LS14_to_LS15_RS3_0043,-0.584654137,-32.7
LS14_to_LS15_RS3_0044,-0.665435516,-34.12
LS14_to_LS15_RS3_0045,-0.763984112,-35.53
LS14_to_LS15_RS3_0046,-0.840235301,-36.96
LS14_to_LS15_RS3_0047,-0.935665166,-38.35
LS14_to_LS15_RS3_0048,-1.016686206,-39.78
LS14_to_LS15_RS3_0049,-1.113194907,-41.15
LS14_to_LS15_RS3_0050,-1.197043762,-42.47
LS14_to_LS15_RS3_0051,-1.291567977,-43.77
LS14_to_LS15_RS3_0052,-1.380021083,-44.99
LS14_to_LS15_RS3_0053,-1.473004428,-46.16
LS14_to_LS15_RS3_0054,-1.567914897,-47.24
LS14_to_LS15_RS3_0055,-1.666993813,-48.19
LS14_to_LS15_RS3_0056,-1.757499898,-48.99
LS14_to_LS15_RS3_0057,-1.858719975,-49.67
LS14_to_LS15_RS3_0058,-1.961115255,-50.2
LS14_to_LS15_RS3_0059,-2.067883573,-50.61
LS14_to_LS15_RS3_0060,-2.163443274,-50.96
LS14_to_LS15_RS3_0061,-2.275578448,-51.31
LS14_to_LS15_RS3_0062,-2.384262517,-51.28
LS14_to_LS15_RS3_0063,-2.489491174,-51.55
LS14_to_LS15_RS3_0064,-2.596919149,-51.77
LS14_to_LS15_RS3_0065,-2.674119128,-50.8
LS15_to_LS16_RS3_0001,-2.670424111,-47.61
LS15_to_LS16_RS3_0002,-2.586394605,-43.98
LS15_to_LS16_RS3_0003,-2.507603981,-41.11
LS15_to_LS16_RS3_0004,-2.418829889,-38.55
LS15_to_LS16_RS3_0005,-2.329818208,-36.18
LS15_to_LS16_RS3_0006,-2.242098901,-33.96
LS15_to_LS16_RS3_0007,-2.161289417,-31.78
LS15_to_LS16_RS3_0008,-2.074688382,-29.65
LS15_to_LS16_RS3_0009,-1.991300168,-27.56
LS15_to_LS16_RS3_0010,-1.907994007,-25.48
LS15_to_LS16_RS3_0011,-1.823516783,-23.41
LS15_to_LS16_RS3_0012,-1.748526443,-21.34
LS15_to_LS16_RS3_0013,-1.667958763,-19.3
LS15_to_LS16_RS3_0014,-1.580983649,-17.2
LS15_to_LS16_RS3_0015,-1.502957894,-15.06
LS15_to_LS16_RS3_0016,-1.430159457,-13.14
LS15_to_LS16_RS3_0017,-1.354252516,-11.08
LS15_to_LS16_RS3_0018,-1.269269909,-9.011
LS15_to_LS16_RS3_0019,-1.206405872,-6.999
LS15_to_LS16_RS3_0020,-1.134641058,-5.08
LS15_to_LS16_RS3_0021,-1.056183897,-3.174
LS15_to_LS16_RS3_0022,-0.989097913,-1.316
LS15_to_LS16_RS3_0023,-0.926375725,0.437
LS15_to_LS16_RS3_0024,-0.866002888,1.939
LS15_to_LS16_RS3_0025,-0.811196822,3.464
LS15_to_LS16_RS3_0026,-0.746502141,5.19
LS15_to_LS16_RS3_0027,-0.674874148,6.955
LS15_to_LS16_RS3_0028,-0.596946491,8.701
LS15_to_LS16_RS3_0029,-0.520070055,10.46
LS15_to_LS16_RS3_0030,-0.446878435,12.27
LS15_to_LS16_RS3_0031,-0.353623153,14.06
LS15_to_LS16_RS3_0032,-0.284733332,15.8
LS15_to_LS16_RS3_0033,-0.202128672,17.48
LS15_to_LS16_RS3_0034,-0.124738097,19.14
LS15_to_LS16_RS3_0035,-0.031544138,20.71
LS15_to_LS16_RS3_0036,0.049729338,22.24
LS15_to_LS16_RS3_0037,0.130878011,23.76
LS15_to_LS16_RS3_0038,0.221570108,25.19
LS15_to_LS16_RS3_0039,0.305066745,26.59
LS15_to_LS16_RS3_0040,0.39614991,27.95
LS15_to_LS16_RS3_0041,0.4785859,29.26
LS15_to_LS16_RS3_0042,0.560400025,30.58
LS15_to_LS16_RS3_0043,0.660431647,31.83
LS15_to_LS16_RS3_0044,0.744042953,33.06
LS15_to_LS16_RS3_0045,0.832067655,34.28
LS15_to_LS16_RS3_0046,0.922478994,35.45
LS15_to_LS16_RS3_0047,1.010438576,36.62
LS15_to_LS16_RS3_0048,1.112435862,37.77
LS15_to_LS16_RS3_0049,1.202096093,38.91
LS15_to_LS16_RS3_0050,1.28620003,40.02
LS15_to_LS16_RS3_0051,1.37223375,41.1
LS15_to_LS16_RS3_0052,1.469258648,42.17
LS15_to_LS16_RS3_0053,1.556306552,43.24
LS15_to_LS16_RS3_0054,1.644792832,44.27
LS15_to_LS16_RS3_0055,1.739345633,45.29
LS15_to_LS16_RS3_0056,1.829203422,46.26
LS15_to_LS16_RS3_0057,1.918317665,47.18
LS15_to_LS16_RS3_0058,2.01433937,48.05
LS15_to_LS16_RS3_0059,2.106203883,48.86
LS15_to_LS16_RS3_0060,2.201722275,49.62
LS15_to_LS16_RS3_0061,2.296678809,50.31
LS15_to_LS16_RS3_0062,2.389671908,50.9
LS15_to_LS16_RS3_0063,2.490876663,51.44
LS15_to_LS16_RS3_0064,2.587708664,51.74
LS16_to_LS17_RS3_0001,2.613667639,48.52
LS16_to_LS17_RS3_0002,2.542619821,45.29
LS16_to_LS17_RS3_0003,2.460420862,42.65
LS16_to_LS17_RS3_0004,2.366634905,40.33
LS16_to_LS17_RS3_0005,2.280430708,38.18
LS16_to_LS17_RS3_0006,2.205924876,36.17
LS16_to_LS17_RS3_0007,2.114416322,34.21
LS16_to_LS17_RS3_0008,2.035151,32.32
LS16_to_LS17_RS3_0009,1.952339403,30.44
LS16_to_LS17_RS3_0010,1.861190151,28.57
LS16_to_LS17_RS3_0011,1.781187054,26.74
LS16_to_LS17_RS3_0012,1.696468096,24.89
LS16_to_LS17_RS3_0013,1.611192783,23.06
LS16_to_LS17_RS3_0014,1.525100952,21.25
LS16_to_LS17_RS3_0015,1.442928471,19.42
LS16_to_LS17_RS3_0016,1.364997384,17.62
LS16_to_LS17_RS3_0017,1.287621079,15.79
LS16_to_LS17_RS3_0018,1.20722412,13.98
LS16_to_LS17_RS3_0019,1.125797126,12.18
LS16_to_LS17_RS3_0020,1.048336754,10.41
LS16_to_LS17_RS3_0021,0.977356925,8.651
LS16_to_LS17_RS3_0022,0.906147583,6.867
LS16_to_LS17_RS3_0023,0.827118416,4.964
LS16_to_LS17_RS3_0024,0.748221244,3.094
LS16_to_LS17_RS3_0025,0.679526811,1.38
LS16_to_LS17_RS3_0026,0.614986765,-0.2089
LS16_to_LS17_RS3_0027,0.545376024,-1.75
LS16_to_LS17_RS3_0028,0.48524729,-3.145
LS16_to_LS17_RS3_0029,0.421555833,-4.843
LS16_to_LS17_RS3_0030,0.360736998,-6.578
LS16_to_LS17_RS3_0031,0.290391016,-8.358
LS16_to_LS17_RS3_0032,0.205587974,-10.14
LS16_to_LS17_RS3_0033,0.135065829,-11.94
LS16_to_LS17_RS3_0034,0.055399646,-13.72
LS16_to_LS17_RS3_0035,-0.024189853,-15.48
LS16_to_LS17_RS3_0036,-0.098712998,-17.22
LS16_to_LS17_RS3_0037,-0.182304667,-18.91
LS16_to_LS17_RS3_0038,-0.270550068,-20.55
LS16_to_LS17_RS3_0039,-0.350435848,-22.15
LS16_to_LS17_RS3_0040,-0.430955434,-23.72
LS16_to_LS17_RS3_0041,-0.517601978,-25.16
LS16_to_LS17_RS3_0042,-0.601234246,-26.54
LS16_to_LS17_RS3_0043,-0.696710885,-27.87
LS16_to_LS17_RS3_0044,-0.773468564,-29.17
LS16_to_LS17_RS3_0045,-0.865615402,-30.42
LS16_to_LS17_RS3_0046,-0.949130401,-31.69
LS16_to_LS17_RS3_0047,-1.037315454,-32.91
LS16_to_LS17_RS3_0048,-1.133376098,-34.14
LS16_to_LS17_RS3_0049,-1.230364075,-35.32
LS16_to_LS17_RS3_0050,-1.311728057,-36.47
LS16_to_LS17_RS3_0051,-1.398559574,-37.62
LS16_to_LS17_RS3_0052,-1.49731391,-38.72
LS16_to_LS17_RS3_0053,-1.598010975,-39.81
LS16_to_LS17_RS3_0054,-1.678849184,-40.89
LS16_to_LS17_RS3_0055,-1.774436367,-41.91
LS16_to_LS17_RS3_0056,-1.866859005,-42.94
LS16_to_LS17_RS3_0057,-1.971718103,-43.92
LS16_to_LS17_RS3_0058,-2.063732369,-44.88
LS16_to_LS17_RS3_0059,-2.161872646,-45.8
LS16_to_LS17_RS3_0060,-2.256130291,-46.62
LS16_to_LS17_RS3_0061,-2.353091784,-47.39
LS16_to_LS17_RS3_0062,-2.45329735,-48.06
LS16_to_LS17_RS3_0063,-2.560863567,-48.65
LS16_to_LS17_RS3_0064,-2.660852041,-49.16
LS16_to_LS17_RS3_0065,-2.766729968,-49.34
LS17_to_LS18_RS3_0000,-2.78354482,-46.08
LS17_to_LS18_RS3_0001,-2.753448045,-45.04
LS17_to_LS18_RS3_0002,-2.674943051,-42.16
LS17_to_LS18_RS3_0003,-2.58664819,-39.51
LS17_to_LS18_RS3_0004,-2.499607622,-37.18
LS17_to_LS18_RS3_0005,-2.413593805,-34.99
LS17_to_LS18_RS3_0006,-2.325764745,-32.92
LS17_to_LS18_RS3_0007,-2.234812807,-30.89
LS17_to_LS18_RS3_0008,-2.156224384,-28.88
LS17_to_LS18_RS3_0009,-2.07058972,-26.88
LS17_to_LS18_RS3_0010,-1.987437225,-24.9
LS17_to_LS18_RS3_0011,-1.904095323,-22.91
LS17_to_LS18_RS3_0012,-1.827390965,-20.91
LS17_to_LS18_RS3_0013,-1.740602375,-18.87
LS17_to_LS18_RS3_0014,-1.661778831,-16.81
LS17_to_LS18_RS3_0015,-1.585048667,-14.81
LS17_to_LS18_RS3_0016,-1.497948054,-12.92
LS17_to_LS18_RS3_0017,-1.428556231,-10.93
LS17_to_LS18_RS3_0018,-1.352214672,-8.946
LS17_to_LS18_RS3_0019,-1.27582501,-7.03
LS17_to_LS18_RS3_0020,-1.201930198,-5.195
LS17_to_LS18_RS3_0021,-1.122260522,-3.371
LS17_to_LS18_RS3_0022,-1.049415525,-1.589
LS17_to_LS18_RS3_0023,-0.978322834,0.1185
LS17_to_LS18_RS3_0024,-0.92355881,1.648
LS17_to_LS18_RS3_0025,-0.870886171,3.004
LS17_to_LS18_RS3_0026,-0.795911752,4.628
LS17_to_LS18_RS3_0027,-0.718706726,6.292
LS17_to_LS18_RS3_0028,-0.650923464,7.991
LS17_to_LS18_RS3_0029,-0.582582606,9.651
LS17_to_LS18_RS3_0030,-0.497113851,11.36
LS17_to_LS18_RS3_0031,-0.416806322,13.05
LS17_to_LS18_RS3_0032,-0.344702379,14.73
LS17_to_LS18_RS3_0033,-0.25340059,16.37
LS17_to_LS18_RS3_0034,-0.160893067,17.96
LS17_to_LS18_RS3_0035,-0.081425266,19.47
LS17_to_LS18_RS3_0036,0.006139936,20.94
LS17_to_LS18_RS3_0037,0.093281462,22.33
LS17_to_LS18_RS3_0038,0.182877131,23.7
LS17_to_LS18_RS3_0039,0.266821826,25.04
LS17_to_LS18_RS3_0040,0.348901879,26.32
LS17_to_LS18_RS3_0041,0.447277028,27.55
LS17_to_LS18_RS3_0042,0.522369599,28.77
LS17_to_LS18_RS3_0043,0.614181046,29.95
LS17_to_LS18_RS3_0044,0.701514245,31.09
LS17_to_LS18_RS3_0045,0.797788637,32.21
LS17_to_LS18_RS3_0046,0.887651356,33.3
LS17_to_LS18_RS3_0047,0.976803293,34.37
