image_names,u [mm],Fh [kN],times(s)
LS11_to_LS12_RS3_0043,-0.437358172,6.272,553
LS11_to_LS12_RS3_0044,-0.403292905,7.253,554
LS11_to_LS12_RS3_0045,-0.372895683,8.218,555
LS11_to_LS12_RS3_0046,-0.337376851,9.183,556
LS11_to_LS12_RS3_0047,-0.300289004,10.19,557
LS11_to_LS12_RS3_0048,-0.265977705,11.21,558
LS11_to_LS12_RS3_0049,-0.225073255,12.25,559
LS11_to_LS12_RS3_0050,-0.191944305,13.26,560
LS11_to_LS12_RS3_0051,-0.152312455,14.27,561
LS11_to_LS12_RS3_0052,-0.110018955,15.26,562
LS11_to_LS12_RS3_0053,-0.074129382,16.25,563
LS11_to_LS12_RS3_0054,-0.041108844,17.24,564
LS11_to_LS12_RS3_0055,-0.009280275,18.2,565
LS11_to_LS12_RS3_0056,0.033069196,19.18,566
LS11_to_LS12_RS3_0057,0.073503625,20.16,567
LS11_to_LS12_RS3_0058,0.114414172,21.12,568
LS11_to_LS12_RS3_0059,0.152021623,22.02,569
LS11_to_LS12_RS3_0060,0.191994844,22.96,570
LS11_to_LS12_RS3_0061,0.235077006,23.93,571
LS11_to_LS12_RS3_0062,0.278195033,24.86,572
LS11_to_LS12_RS3_0063,0.316667692,25.77,573
LS11_to_LS12_RS3_0064,0.358295018,26.7,574
LS11_to_LS12_RS3_0065,0.395772356,27.61,575
LS11_to_LS12_RS3_0066,0.430093866,28.52,576
LS11_to_LS12_RS3_0067,0.475315228,29.42,577
LS11_to_LS12_RS3_0068,0.512139277,30.29,578
LS11_to_LS12_RS3_0069,0.559378918,31.17,579
LS11_to_LS12_RS3_0070,0.596505961,32.04,580
LS11_to_LS12_RS3_0071,0.638652506,32.89,581
LS11_to_LS12_RS3_0072,0.687830192,33.76,582
LS11_to_LS12_RS3_0073,0.725391508,34.63,583
LS11_to_LS12_RS3_0074,0.766893142,35.47,584
LS11_to_LS12_RS3_0075,0.810367764,36.33,585
LS11_to_LS12_RS3_0076,0.85426047,37.15,586
LS11_to_LS12_RS3_0077,0.89188153,37.98,587
LS11_to_LS12_RS3_0078,0.937245824,38.8,588
LS11_to_LS12_RS3_0079,0.97368129,39.62,589
LS11_to_LS12_RS3_0080,1.013667131,40.42,590
LS11_to_LS12_RS3_0081,1.058552429,41.21,591
LS11_to_LS12_RS3_0082,1.102840768,41.96,592
LS11_to_LS12_RS3_0083,1.144977717,42.7,593
LS11_to_LS12_RS3_0084,1.19553853,43.41,594
LS11_to_LS12_RS3_0085,1.227752218,44.11,595
LS11_to_LS12_RS3_0086,1.277303485,44.79,596
LS11_to_LS12_RS3_0087,1.317495242,45.43,597
LS11_to_LS12_RS3_0088,1.362741258,46.05,598
LS11_to_LS12_RS3_0089,1.411680255,46.63,599
LS11_to_LS12_RS3_0090,1.455411237,47.21,600
LS11_to_LS12_RS3_0091,1.499076167,47.75,601
LS11_to_LS12_RS3_0092,1.5455849,48.26,602
LS11_to_LS12_RS3_0093,1.593335546,48.75,603
LS11_to_LS12_RS3_0094,1.642492204,49.31,604
LS11_to_LS12_RS3_0095,1.688721454,49.71,605
LS12_to_LS13_RS3_0001,1.711947557,46.51,606
LS12_to_LS13_RS3_0002,1.680358313,44.2,607
LS12_to_LS13_RS3_0003,1.646837816,42.23,608
LS12_to_LS13_RS3_0004,1.607775074,40.35,609
LS12_to_LS13_RS3_0005,1.57857536,38.69,610
LS12_to_LS13_RS3_0006,1.536575786,37.08,611
LS12_to_LS13_RS3_0007,1.505245155,35.57,612
LS12_to_LS13_RS3_0008,1.452715251,34.09,613
LS12_to_LS13_RS3_0009,1.428812979,32.67,614
LS12_to_LS13_RS3_0010,1.388375933,31.25,615
LS12_to_LS13_RS3_0011,1.348295728,29.86,616
LS12_to_LS13_RS3_0012,1.316727517,28.49,617
LS12_to_LS13_RS3_0013,1.27656658,27.14,618
LS12_to_LS13_RS3_0014,1.237060075,25.8,619
LS12_to_LS13_RS3_0015,1.205330696,24.5,620
LS12_to_LS13_RS3_0016,1.169469769,23.21,621
LS12_to_LS13_RS3_0017,1.123394042,21.93,622
LS12_to_LS13_RS3_0018,1.089354225,20.6,623
LS12_to_LS13_RS3_0019,1.05345348,19.38,624
LS12_to_LS13_RS3_0020,1.009601244,18.14,625
LS12_to_LS13_RS3_0021,0.97552053,16.9,626
LS12_to_LS13_RS3_0022,0.936202109,15.7,627
LS12_to_LS13_RS3_0023,0.899502554,14.53,628
LS12_to_LS13_RS3_0024,0.862890862,13.31,629
LS12_to_LS13_RS3_0025,0.833153652,12.12,630
LS12_to_LS13_RS3_0026,0.798278877,10.98,631
LS12_to_LS13_RS3_0027,0.772161223,9.821,632
LS12_to_LS13_RS3_0028,0.73081599,8.713,633
LS12_to_LS13_RS3_0029,0.699517591,7.57,634
LS12_to_LS13_RS3_0030,0.667035345,6.45,635
LS12_to_LS13_RS3_0031,0.634908459,5.283,636
LS12_to_LS13_RS3_0032,0.594118295,4.079,637
LS12_to_LS13_RS3_0033,0.554533859,2.908,638
LS12_to_LS13_RS3_0034,0.52976136,1.885,639
LS12_to_LS13_RS3_0035,0.495302249,0.9721,640
LS12_to_LS13_RS3_0036,0.467046441,0.04896,641
LS12_to_LS13_RS3_0037,0.441507569,-0.8375,642
LS12_to_LS13_RS3_0038,0.415647984,-1.729,643
LS12_to_LS13_RS3_0039,0.388580445,-2.491,644
LS12_to_LS13_RS3_0040,0.36957995,-3.323,645
LS12_to_LS13_RS3_0041,0.339551524,-4.293,646
LS12_to_LS13_RS3_0042,0.304588089,-5.282,647
LS12_to_LS13_RS3_0043,0.265811096,-6.31,648
LS12_to_LS13_RS3_0044,0.233182872,-7.328,649
LS12_to_LS13_RS3_0045,0.20306063,-8.341,650
LS12_to_LS13_RS3_0046,0.167649797,-9.352,651
LS12_to_LS13_RS3_0047,0.129663781,-10.4,652
LS12_to_LS13_RS3_0048,0.09556935,-11.47,653
LS12_to_LS13_RS3_0049,0.057619911,-12.5,654
LS12_to_LS13_RS3_0050,0.02707105,-13.55,655
LS12_to_LS13_RS3_0051,-0.01422107,-14.55,656
LS12_to_LS13_RS3_0052,-0.04554043,-15.6,657
LS12_to_LS13_RS3_0053,-0.082775129,-16.6,658
LS12_to_LS13_RS3_0054,-0.114965952,-17.59,659
LS12_to_LS13_RS3_0055,-0.158918387,-18.61,660
LS12_to_LS13_RS3_0056,-0.200391358,-19.65,661
LS12_to_LS13_RS3_0057,-0.238868745,-20.65,662
LS12_to_LS13_RS3_0058,-0.279700705,-21.63,663
LS12_to_LS13_RS3_0059,-0.315067926,-22.59,664
LS12_to_LS13_RS3_0060,-0.352989386,-23.56,665
LS12_to_LS13_RS3_0061,-0.393639056,-24.53,666
LS12_to_LS13_RS3_0062,-0.433154932,-25.45,667
LS12_to_LS13_RS3_0063,-0.466257468,-26.33,668
LS12_to_LS13_RS3_0064,-0.505783107,-27.24,669
LS12_to_LS13_RS3_0065,-0.547119602,-28.13,670
LS12_to_LS13_RS3_0066,-0.584571047,-29.01,671
LS12_to_LS13_RS3_0067,-0.62934444,-29.86,672
LS12_to_LS13_RS3_0068,-0.67268002,-30.72,673
LS12_to_LS13_RS3_0069,-0.717620249,-31.59,674
LS12_to_LS13_RS3_0070,-0.750305259,-32.37,675
LS12_to_LS13_RS3_0071,-0.791928979,-33.29,676
LS12_to_LS13_RS3_0072,-0.840168147,-34.11,677
LS12_to_LS13_RS3_0073,-0.879626786,-34.95,678
LS12_to_LS13_RS3_0074,-0.925645989,-35.77,679
LS12_to_LS13_RS3_0075,-0.968214885,-36.61,680
LS12_to_LS13_RS3_0076,-1.006386046,-37.4,681
LS12_to_LS13_RS3_0077,-1.046795714,-38.23,682
LS12_to_LS13_RS3_0078,-1.092187756,-39.03,683
LS12_to_LS13_RS3_0079,-1.14000403,-39.84,684
LS12_to_LS13_RS3_0080,-1.185927822,-40.63,685
LS12_to_LS13_RS3_0081,-1.227513022,-41.41,686
LS12_to_LS13_RS3_0082,-1.269365603,-42.18,687
LS12_to_LS13_RS3_0083,-1.316685758,-42.94,688
LS12_to_LS13_RS3_0084,-1.350797744,-43.69,689
LS12_to_LS13_RS3_0085,-1.396075059,-44.42,690
LS12_to_LS13_RS3_0086,-1.444150496,-45.15,691
LS12_to_LS13_RS3_0087,-1.488436716,-45.82,692
LS12_to_LS13_RS3_0088,-1.539975775,-46.47,693
LS12_to_LS13_RS3_0089,-1.587587758,-47.07,694
LS12_to_LS13_RS3_0090,-1.631524183,-47.64,695
LS12_to_LS13_RS3_0091,-1.679974767,-48.19,696
LS12_to_LS13_RS3_0092,-1.72927143,-48.72,697
LS12_to_LS13_RS3_0093,-1.774265731,-49.18,698
LS13_to_LS14_RS3_0001,-1.807426195,-46.43,699
LS13_to_LS14_RS3_0002,-1.735166801,-41.99,700
LS13_to_LS14_RS3_0003,-1.650184384,-38.51,701
LS13_to_LS14_RS3_0004,-1.57967837,-35.45,702
LS13_to_LS14_RS3_0005,-1.498949453,-32.62,703
LS13_to_LS14_RS3_0006,-1.422530685,-29.91,704
LS13_to_LS14_RS3_0007,-1.343384808,-27.3,705
LS13_to_LS14_RS3_0008,-1.271610269,-24.79,706
LS13_to_LS14_RS3_0009,-1.202764086,-22.32,707
LS13_to_LS14_RS3_0010,-1.125314116,-19.95,708
LS13_to_LS14_RS3_0011,-1.045388639,-17.46,709
LS13_to_LS14_RS3_0012,-0.975675051,-15.03,710
LS13_to_LS14_RS3_0013,-0.911172973,-12.73,711
LS13_to_LS14_RS3_0014,-0.83823564,-10.35,712
LS13_to_LS14_RS3_0015,-0.77271798,-8.042,713
LS13_to_LS14_RS3_0016,-0.70268123,-5.866,714
LS13_to_LS14_RS3_0017,-0.638325052,-3.766,715
LS13_to_LS14_RS3_0018,-0.569303661,-1.668,716
LS13_to_LS14_RS3_0019,-0.507712393,0.3083,717
LS13_to_LS14_RS3_0020,-0.452480743,1.982,718
LS13_to_LS14_RS3_0021,-0.405242452,3.67,719
LS13_to_LS14_RS3_0022,-0.339217215,5.594,720
LS13_to_LS14_RS3_0023,-0.27714423,7.563,721
LS13_to_LS14_RS3_0024,-0.212546948,9.542,722
LS13_to_LS14_RS3_0025,-0.130783155,11.61,723
LS13_to_LS14_RS3_0026,-0.055243524,13.64,724
LS13_to_LS14_RS3_0027,0.018860767,15.64,725
LS13_to_LS14_RS3_0028,0.089884698,17.6,726
LS13_to_LS14_RS3_0029,0.175736342,19.53,727
LS13_to_LS14_RS3_0030,0.257769932,21.42,728
LS13_to_LS14_RS3_0031,0.330486842,23.28,729
LS13_to_LS14_RS3_0032,0.413601408,25.12,730
LS13_to_LS14_RS3_0033,0.491137629,26.91,731
LS13_to_LS14_RS3_0034,0.568849303,28.68,732
LS13_to_LS14_RS3_0035,0.662939893,30.46,733
LS13_to_LS14_RS3_0036,0.736505018,32.2,734
LS13_to_LS14_RS3_0037,0.823008071,33.91,735
LS13_to_LS14_RS3_0038,0.905177113,35.59,736
LS13_to_LS14_RS3_0039,0.982647529,37.3,737
LS13_to_LS14_RS3_0040,1.076849687,38.95,738
LS13_to_LS14_RS3_0041,1.156575807,40.61,739
LS13_to_LS14_RS3_0042,1.242863394,42.27,740
LS13_to_LS14_RS3_0043,1.328941047,43.88,741
LS13_to_LS14_RS3_0044,1.403738679,45.43,742
LS13_to_LS14_RS3_0045,1.499239936,46.86,743
LS13_to_LS14_RS3_0046,1.591768575,48.17,744
LS13_to_LS14_RS3_0047,1.674347168,49.33,745
LS13_to_LS14_RS3_0048,1.76988495,50.34,746
LS13_to_LS14_RS3_0049,1.86578233,51.24,747
LS13_to_LS14_RS3_0050,1.958412255,52.01,748
LS13_to_LS14_RS3_0051,2.058921645,52.68,749
LS13_to_LS14_RS3_0052,2.154789486,53.15,750
LS13_to_LS14_RS3_0053,2.252311518,53.51,751
LS13_to_LS14_RS3_0054,2.347687386,53.84,752
LS13_to_LS14_RS3_0055,2.452181278,54.04,753
LS13_to_LS14_RS3_0056,2.555835008,54.27,754
LS13_to_LS14_RS3_0057,2.607948261,53.37,755
LS14_to_LS15_RS3_0001,2.628478193,50.92,756
LS14_to_LS15_RS3_0002,2.561267823,46.55,757
LS14_to_LS15_RS3_0003,2.47773424,43.65,758
LS14_to_LS15_RS3_0004,2.40048462,41.03,759
LS14_to_LS15_RS3_0005,2.315037788,38.59,760
LS14_to_LS15_RS3_0006,2.237739096,36.32,761
LS14_to_LS15_RS3_0007,2.155321761,34.07,762
LS14_to_LS15_RS3_0008,2.069473496,31.84,763
LS14_to_LS15_RS3_0009,1.983105066,29.66,764
LS14_to_LS15_RS3_0010,1.89892572,27.5,765
LS14_to_LS15_RS3_0011,1.810661948,25.35,766
LS14_to_LS15_RS3_0012,1.733254209,23.22,767
LS14_to_LS15_RS3_0013,1.663830668,21.16,768
LS14_to_LS15_RS3_0014,1.57963629,19.06,769
LS14_to_LS15_RS3_0015,1.510395301,16.97,770
LS14_to_LS15_RS3_0016,1.420402014,14.93,771
LS14_to_LS15_RS3_0017,1.351385872,12.94,772
LS14_to_LS15_RS3_0018,1.282432814,11.04,773
LS14_to_LS15_RS3_0019,1.214599901,9.128,774
LS14_to_LS15_RS3_0020,1.139065787,7.228,775
LS14_to_LS15_RS3_0021,1.067804136,5.184,776
LS14_to_LS15_RS3_0022,0.989453469,3.129,777
LS14_to_LS15_RS3_0023,0.9256697,1.319,778
LS14_to_LS15_RS3_0024,0.862139632,-0.3771,779
LS14_to_LS15_RS3_0025,0.807374072,-1.995,780
LS14_to_LS15_RS3_0026,0.744419185,-3.521,781
LS14_to_LS15_RS3_0027,0.674357088,-5.343,782
LS14_to_LS15_RS3_0028,0.605187075,-7.229,783
LS14_to_LS15_RS3_0029,0.541880293,-9.086,784
LS14_to_LS15_RS3_0030,0.467156494,-10.98,785
LS14_to_LS15_RS3_0031,0.392271785,-12.9,786
LS14_to_LS15_RS3_0032,0.316705994,-14.75,787
LS14_to_LS15_RS3_0033,0.233827201,-16.6,788
LS14_to_LS15_RS3_0034,0.159978569,-18.44,789
LS14_to_LS15_RS3_0035,0.07792386,-20.24,790
LS14_to_LS15_RS3_0036,-0.00566605,-21.98,791
LS14_to_LS15_RS3_0037,-0.088009622,-23.65,792
LS14_to_LS15_RS3_0038,-0.167221192,-25.23,793
LS14_to_LS15_RS3_0039,-0.249618832,-26.78,794
LS14_to_LS15_RS3_0040,-0.337109802,-28.3,795
LS14_to_LS15_RS3_0041,-0.415922359,-29.81,796
LS14_to_LS15_RS3_0042,-0.504127691,-31.27,797
LS14_to_LS15_RS3_0043,-0.584654137,-32.7,798
LS14_to_LS15_RS3_0044,-0.665435516,-34.12,799
LS14_to_LS15_RS3_0045,-0.763984112,-35.53,800
LS14_to_LS15_RS3_0046,-0.840235301,-36.96,801
LS14_to_LS15_RS3_0047,-0.935665166,-38.35,802
LS14_to_LS15_RS3_0048,-1.016686206,-39.78,803
LS14_to_LS15_RS3_0049,-1.113194907,-41.15,804
LS14_to_LS15_RS3_0050,-1.197043762,-42.47,805
LS14_to_LS15_RS3_0051,-1.291567977,-43.77,806
LS14_to_LS15_RS3_0052,-1.380021083,-44.99,807
LS14_to_LS15_RS3_0053,-1.473004428,-46.16,808
LS14_to_LS15_RS3_0054,-1.567914897,-47.24,809
LS14_to_LS15_RS3_0055,-1.666993813,-48.19,810
LS14_to_LS15_RS3_0056,-1.757499898,-48.99,811
LS14_to_LS15_RS3_0057,-1.858719975,-49.67,812
LS14_to_LS15_RS3_0058,-1.961115255,-50.2,813
LS14_to_LS15_RS3_0059,-2.067883573,-50.61,814
LS14_to_LS15_RS3_0060,-2.163443274,-50.96,815
LS14_to_LS15_RS3_0061,-2.275578448,-51.31,816
LS14_to_LS15_RS3_0062,-2.384262517,-51.28,817
LS14_to_LS15_RS3_0063,-2.489491174,-51.55,818
LS14_to_LS15_RS3_0064,-2.596919149,-51.77,819
LS14_to_LS15_RS3_0065,-2.674119128,-50.8,820
LS15_to_LS16_RS3_0001,-2.670424111,-47.61,821
LS15_to_LS16_RS3_0002,-2.586394605,-43.98,822
LS15_to_LS16_RS3_0003,-2.507603981,-41.11,823
LS15_to_LS16_RS3_0004,-2.418829889,-38.55,824
LS15_to_LS16_RS3_0005,-2.329818208,-36.18,825
LS15_to_LS16_RS3_0006,-2.242098901,-33.96,826
LS15_to_LS16_RS3_0007,-2.161289417,-31.78,827
LS15_to_LS16_RS3_0008,-2.074688382,-29.65,828
LS15_to_LS16_RS3_0009,-1.991300168,-27.56,829
LS15_to_LS16_RS3_0010,-1.907994007,-25.48,830
LS15_to_LS16_RS3_0011,-1.823516783,-23.41,831
LS15_to_LS16_RS3_0012,-1.748526443,-21.34,832
LS15_to_LS16_RS3_0013,-1.667958763,-19.3,833
LS15_to_LS16_RS3_0014,-1.580983649,-17.2,834
LS15_to_LS16_RS3_0015,-1.502957894,-15.06,835
LS15_to_LS16_RS3_0016,-1.430159457,-13.14,836
LS15_to_LS16_RS3_0017,-1.354252516,-11.08,837
LS15_to_LS16_RS3_0018,-1.269269909,-9.011,838
LS15_to_LS16_RS3_0019,-1.206405872,-6.999,839
LS15_to_LS16_RS3_0020,-1.134641058,-5.08,840
LS15_to_LS16_RS3_0021,-1.056183897,-3.174,841
LS15_to_LS16_RS3_0022,-0.989097913,-1.316,842
LS15_to_LS16_RS3_0023,-0.926375725,0.437,843
LS15_to_LS16_RS3_0024,-0.866002888,1.939,844
LS15_to_LS16_RS3_0025,-0.811196822,3.464,845
LS15_to_LS16_RS3_0026,-0.746502141,5.19,846
LS15_to_LS16_RS3_0027,-0.674874148,6.955,847
LS15_to_LS16_RS3_0028,-0.596946491,8.701,848
LS15_to_LS16_RS3_0029,-0.520070055,10.46,849
LS15_to_LS16_RS3_0030,-0.446878435,12.27,850
LS15_to_LS16_RS3_0031,-0.353623153,14.06,851
LS15_to_LS16_RS3_0032,-0.284733332,15.8,852
LS15_to_LS16_RS3_0033,-0.202128672,17.48,853
LS15_to_LS16_RS3_0034,-0.124738097,19.14,854
LS15_to_LS16_RS3_0035,-0.031544138,20.71,855
LS15_to_LS16_RS3_0036,0.049729338,22.24,856
LS15_to_LS16_RS3_0037,0.130878011,23.76,857
LS15_to_LS16_RS3_0038,0.221570108,25.19,858
LS15_to_LS16_RS3_0039,0.305066745,26.59,859
LS15_to_LS16_RS3_0040,0.39614991,27.95,860
LS15_to_LS16_RS3_0041,0.4785859,29.26,861
LS15_to_LS16_RS3_0042,0.560400025,30.58,862
LS15_to_LS16_RS3_0043,0.660431647,31.83,863
LS15_to_LS16_RS3_0044,0.744042953,33.06,864
LS15_to_LS16_RS3_0045,0.832067655,34.28,865
LS15_to_LS16_RS3_0046,0.922478994,35.45,866
LS15_to_LS16_RS3_0047,1.010438576,36.62,867
LS15_to_LS16_RS3_0048,1.112435862,37.77,868
LS15_to_LS16_RS3_0049,1.202096093,38.91,869
LS15_to_LS16_RS3_0050,1.28620003,40.02,870
LS15_to_LS16_RS3_0051,1.37223375,41.1,871
LS15_to_LS16_RS3_0052,1.469258648,42.17,872
LS15_to_LS16_RS3_0053,1.556306552,43.24,873
LS15_to_LS16_RS3_0054,1.644792832,44.27,874
LS15_to_LS16_RS3_0055,1.739345633,45.29,875
LS15_to_LS16_RS3_0056,1.829203422,46.26,876
LS15_to_LS16_RS3_0057,1.918317665,47.18,877
LS15_to_LS16_RS3_0058,2.01433937,48.05,878
LS15_to_LS16_RS3_0059,2.106203883,48.86,879
LS15_to_LS16_RS3_0060,2.201722275,49.62,880
LS15_to_LS16_RS3_0061,2.296678809,50.31,881
LS15_to_LS16_RS3_0062,2.389671908,50.9,882
LS15_to_LS16_RS3_0063,2.490876663,51.44,883
LS15_to_LS16_RS3_0064,2.587708664,51.74,884
LS16_to_LS17_RS3_0001,2.613667639,48.52,885
LS16_to_LS17_RS3_0002,2.542619821,45.29,886
LS16_to_LS17_RS3_0003,2.460420862,42.65,887
LS16_to_LS17_RS3_0004,2.366634905,40.33,888
LS16_to_LS17_RS3_0005,2.280430708,38.18,889
LS16_to_LS17_RS3_0006,2.205924876,36.17,890
LS16_to_LS17_RS3_0007,2.114416322,34.21,891
LS16_to_LS17_RS3_0008,2.035151,32.32,892
LS16_to_LS17_RS3_0009,1.952339403,30.44,893
LS16_to_LS17_RS3_0010,1.861190151,28.57,894
LS16_to_LS17_RS3_0011,1.781187054,26.74,895
LS16_to_LS17_RS3_0012,1.696468096,24.89,896
LS16_to_LS17_RS3_0013,1.611192783,23.06,897
LS16_to_LS17_RS3_0014,1.525100952,21.25,898
LS16_to_LS17_RS3_0015,1.442928471,19.42,899
LS16_to_LS17_RS3_0016,1.364997384,17.62,900
LS16_to_LS17_RS3_0017,1.287621079,15.79,901
LS16_to_LS17_RS3_0018,1.20722412,13.98,902
LS16_to_LS17_RS3_0019,1.125797126,12.18,903
LS16_to_LS17_RS3_0020,1.048336754,10.41,904
LS16_to_LS17_RS3_0021,0.977356925,8.651,905
LS16_to_LS17_RS3_0022,0.906147583,6.867,906
LS16_to_LS17_RS3_0023,0.827118416,4.964,907
LS16_to_LS17_RS3_0024,0.748221244,3.094,908
LS16_to_LS17_RS3_0025,0.679526811,1.38,909
LS16_to_LS17_RS3_0026,0.614986765,-0.2089,910
LS16_to_LS17_RS3_0027,0.545376024,-1.75,911
LS16_to_LS17_RS3_0028,0.48524729,-3.145,912
LS16_to_LS17_RS3_0029,0.421555833,-4.843,913
LS16_to_LS17_RS3_0030,0.360736998,-6.578,914
LS16_to_LS17_RS3_0031,0.290391016,-8.358,915
LS16_to_LS17_RS3_0032,0.205587974,-10.14,916
LS16_to_LS17_RS3_0033,0.135065829,-11.94,917
LS16_to_LS17_RS3_0034,0.055399646,-13.72,918
LS16_to_LS17_RS3_0035,-0.024189853,-15.48,919
LS16_to_LS17_RS3_0036,-0.098712998,-17.22,920
LS16_to_LS17_RS3_0037,-0.182304667,-18.91,921
LS16_to_LS17_RS3_0038,-0.270550068,-20.55,922
LS16_to_LS17_RS3_0039,-0.350435848,-22.15,923
LS16_to_LS17_RS3_0040,-0.430955434,-23.72,924
LS16_to_LS17_RS3_0041,-0.517601978,-25.16,925
LS16_to_LS17_RS3_0042,-0.601234246,-26.54,926
LS16_to_LS17_RS3_0043,-0.696710885,-27.87,927
LS16_to_LS17_RS3_0044,-0.773468564,-29.17,928
LS16_to_LS17_RS3_0045,-0.865615402,-30.42,929
LS16_to_LS17_RS3_0046,-0.949130401,-31.69,930
LS16_to_LS17_RS3_0047,-1.037315454,-32.91,931
LS16_to_LS17_RS3_0048,-1.133376098,-34.14,932
LS16_to_LS17_RS3_0049,-1.230364075,-35.32,933
LS16_to_LS17_RS3_0050,-1.311728057,-36.47,934
LS16_to_LS17_RS3_0051,-1.398559574,-37.62,935
LS16_to_LS17_RS3_0052,-1.49731391,-38.72,936
LS16_to_LS17_RS3_0053,-1.598010975,-39.81,937
LS16_to_LS17_RS3_0054,-1.678849184,-40.89,938
LS16_to_LS17_RS3_0055,-1.774436367,-41.91,939
LS16_to_LS17_RS3_0056,-1.866859005,-42.94,940
LS16_to_LS17_RS3_0057,-1.971718103,-43.92,941
LS16_to_LS17_RS3_0058,-2.063732369,-44.88,942
LS16_to_LS17_RS3_0059,-2.161872646,-45.8,943
LS16_to_LS17_RS3_0060,-2.256130291,-46.62,944
LS16_to_LS17_RS3_0061,-2.353091784,-47.39,945
LS16_to_LS17_RS3_0062,-2.45329735,-48.06,946
LS16_to_LS17_RS3_0063,-2.560863567,-48.65,947
LS16_to_LS17_RS3_0064,-2.660852041,-49.16,948
LS16_to_LS17_RS3_0065,-2.766729968,-49.34,949
LS17_to_LS18_RS3_0000,-2.78354482,-46.08,949
LS17_to_LS18_RS3_0001,-2.753448045,-45.04,950
LS17_to_LS18_RS3_0002,-2.674943051,-42.16,951
LS17_to_LS18_RS3_0003,-2.58664819,-39.51,952
LS17_to_LS18_RS3_0004,-2.499607622,-37.18,953
LS17_to_LS18_RS3_0005,-2.413593805,-34.99,954
LS17_to_LS18_RS3_0006,-2.325764745,-32.92,955
LS17_to_LS18_RS3_0007,-2.234812807,-30.89,956
LS17_to_LS18_RS3_0008,-2.156224384,-28.88,957
LS17_to_LS18_RS3_0009,-2.07058972,-26.88,958
LS17_to_LS18_RS3_0010,-1.987437225,-24.9,959
LS17_to_LS18_RS3_0011,-1.904095323,-22.91,960
LS17_to_LS18_RS3_0012,-1.827390965,-20.91,961
LS17_to_LS18_RS3_0013,-1.740602375,-18.87,962
LS17_to_LS18_RS3_0014,-1.661778831,-16.81,963
LS17_to_LS18_RS3_0015,-1.585048667,-14.81,964
LS17_to_LS18_RS3_0016,-1.497948054,-12.92,965
LS17_to_LS18_RS3_0017,-1.428556231,-10.93,966
LS17_to_LS18_RS3_0018,-1.352214672,-8.946,967
LS17_to_LS18_RS3_0019,-1.27582501,-7.03,968
LS17_to_LS18_RS3_0020,-1.201930198,-5.195,969
LS17_to_LS18_RS3_0021,-1.122260522,-3.371,970
LS17_to_LS18_RS3_0022,-1.049415525,-1.589,971
LS17_to_LS18_RS3_0023,-0.978322834,0.1185,972
LS17_to_LS18_RS3_0024,-0.92355881,1.648,973
LS17_to_LS18_RS3_0025,-0.870886171,3.004,974
LS17_to_LS18_RS3_0026,-0.795911752,4.628,975
LS17_to_LS18_RS3_0027,-0.718706726,6.292,976
LS17_to_LS18_RS3_0028,-0.650923464,7.991,977
LS17_to_LS18_RS3_0029,-0.582582606,9.651,978
LS17_to_LS18_RS3_0030,-0.497113851,11.36,979
LS17_to_LS18_RS3_0031,-0.416806322,13.05,980
LS17_to_LS18_RS3_0032,-0.344702379,14.73,981
LS17_to_LS18_RS3_0033,-0.25340059,16.37,982
LS17_to_LS18_RS3_0034,-0.160893067,17.96,983
LS17_to_LS18_RS3_0035,-0.081425266,19.47,984
LS17_to_LS18_RS3_0036,0.006139936,20.94,985
LS17_to_LS18_RS3_0037,0.093281462,22.33,986
LS17_to_LS18_RS3_0038,0.182877131,23.7,987
LS17_to_LS18_RS3_0039,0.266821826,25.04,988
LS17_to_LS18_RS3_0040,0.348901879,26.32,989
LS17_to_LS18_RS3_0041,0.447277028,27.55,990
LS17_to_LS18_RS3_0042,0.522369599,28.77,991
LS17_to_LS18_RS3_0043,0.614181046,29.95,992
LS17_to_LS18_RS3_0044,0.701514245,31.09,993
LS17_to_LS18_RS3_0045,0.797788637,32.21,994
LS17_to_LS18_RS3_0046,0.887651356,33.3,995
LS17_to_LS18_RS3_0047,0.976803293,34.37,996
LS17_to_LS18_RS3_0048,1.06398243,35.42,997
LS17_to_LS18_RS3_0049,1.159563036,36.47,998
LS17_to_LS18_RS3_0050,1.247044049,37.5,999
LS17_to_LS18_RS3_0051,1.335569713,38.52,1000
LS17_to_LS18_RS3_0052,1.426640998,39.53,1001
LS17_to_LS18_RS3_0053,1.51528795,40.51,1002
LS17_to_LS18_RS3_0054,1.615285452,41.5,1003
LS17_to_LS18_RS3_0055,1.703077775,42.48,1004
LS17_to_LS18_RS3_0056,1.795939468,43.45,1005
LS17_to_LS18_RS3_0057,1.878172915,44.39,1006
LS17_to_LS18_RS3_0058,1.973127935,45.32,1007
LS17_to_LS18_RS3_0059,2.065149358,46.19,1008
LS17_to_LS18_RS3_0060,2.153305613,47.02,1009
LS17_to_LS18_RS3_0061,2.25899162,47.81,1010
LS17_to_LS18_RS3_0062,2.347236001,48.56,1011
LS17_to_LS18_RS3_0063,2.452441851,49.24,1012
LS17_to_LS18_RS3_0064,2.54408206,49.85,1013
LS17_to_LS18_RS3_0065,2.649463953,50.44,1014
LS17_to_LS18_RS3_0066,2.743506189,50.92,1015
LS17_to_LS18_RS3_0067,2.827941523,51.33,1016
LS17_to_LS18_RS3_0068,2.938250185,51.69,1017
